SCALE,MODEL,PRIOR,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,VERSION,val_acc_exact,test_acc_exact,test_loss,Test_Acc_L_Digit,Test_Acc_R_Digit,Test_Acc_L_Color,Test_Acc_R_Color,val_acc_ci,val_loss,val_loss_ci,test_acc_ci,test_loss_ci,Val_Acc_L_Digit,Val_Acc_R_Digit,Val_Acc_L_Color,Val_Acc_R_Color
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_loss,2_attr,0.9803460000000002,0.9833699999999999,-22937.65716079905,0.9918580000000001,0.99149,,,0.00019632811018173202,-22940.49595678402,0.25629143214802086,0.00021546468836015114,0.27188683950719894,0.9901399999999999,0.990156,,
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_loss,4_attr,0.885852,0.893314,-22883.186201048262,0.9891380000000001,0.989054,0.9563159999999999,0.95522,0.000467344389399,-22883.433118571993,0.29988234405005887,0.0004942487989591819,0.33264094652099463,0.9881680000000002,0.9878379999999999,0.9530640000000001,0.9519239999999999
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_acc,2_attr,0.980832,0.983704,-22914.559352254742,0.9922,0.9914900000000002,,,0.00022608081377072895,-22917.713899327537,0.32209598168566295,0.00021764994669216557,0.2559304324268757,0.990326,0.9904520000000001,,
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_acc,4_attr,0.885938,0.8942479999999999,-22859.61332179588,0.9890939999999999,0.9890059999999999,0.9568059999999999,0.956194,0.000532547573907074,-22859.44053500791,0.3265149752650669,0.0005014411048527424,0.3229249251346051,0.988036,0.9877780000000002,0.953426,0.9519
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_loss,2_attr,0.9801439999999999,0.9829879999999999,-22744.21529469937,0.9915900000000002,0.9913879999999999,,,0.00022474409286221965,-22748.073413271362,0.25300115672303647,0.00023649996263553206,0.29877463538979365,0.990308,0.989736,,
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_loss,4_attr,0.8881640000000001,0.896516,-22544.16897893592,0.9893959999999998,0.9888080000000001,0.958168,0.956932,0.0004887066257380191,-22545.662047072783,0.39859471700683907,0.0005536849971856956,0.3949984486649949,0.9884799999999998,0.98791,0.95375,0.95327
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_acc,2_attr,0.9802279999999999,0.981736,-22612.785570114716,0.990634,0.9910800000000001,,,0.00022244997351730241,-22619.713953718358,0.2438668228093269,0.0002552133098851694,0.2856491066273216,0.9901420000000001,0.9899780000000001,,
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_acc,4_attr,0.8883579999999998,0.8965780000000001,-22515.340671479433,0.989264,0.988194,0.9582999999999999,0.957372,0.0005472991110607901,-22516.844628659015,0.39654981449253546,0.0005340743975437262,0.39354459356139704,0.988382,0.9874919999999999,0.9537340000000001,0.9540900000000002
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,2_attr,0.9794539999999999,0.983782,-23028.398941356805,0.9919859999999998,0.991784,,,0.00019302599436922145,-23026.804745846523,0.3410242656238286,0.00026271956416666577,0.35144433276463527,0.989798,0.9895959999999999,,
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,4_attr,0.884602,0.89593,-22876.687437697783,0.9890039999999999,0.989594,0.9588979999999999,0.9554900000000001,0.0005301465020783748,-22873.09344738924,0.37530151913546045,0.0004744157828178783,0.33705756074628784,0.9877139999999999,0.988302,0.952384,0.951542
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,2_attr,0.9793860000000001,0.9839060000000001,-23019.445551325156,0.9920640000000001,0.9918299999999999,,,0.0002012042626452145,-23017.3251458663,0.3425168691086449,0.000260812853733168,0.35250095095781553,0.989696,0.989636,,
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,4_attr,0.885116,0.8963819999999998,-22870.307655755543,0.9890439999999999,0.9895780000000001,0.959036,0.9558639999999999,0.0005079443524840875,-22866.414112935126,0.36119558199951646,0.000473004455526143,0.3372106188970306,0.9877860000000002,0.98832,0.95242,0.951972
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,2_attr,0.9803019999999999,0.982676,-22700.71908425633,0.9913200000000001,0.9913379999999999,,,0.00022695766196245524,-22705.500434137663,0.2933546890267648,0.00023635494932027908,0.319097445820492,0.99007,0.9901920000000001,,
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,4_attr,0.886962,0.8987279999999999,-22641.6555117682,0.9887440000000001,0.9891239999999999,0.9599979999999999,0.9580719999999999,0.0005002118390909795,-22641.129520371836,0.3602331173033468,0.000549821654863989,0.2969797870996333,0.9877920000000002,0.9882719999999999,0.9546920000000001,0.951634
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,2_attr,0.98013,0.982138,-22683.606004746835,0.99106,0.9910499999999999,,,0.0002448964092456734,-22688.92755587421,0.2968763467981208,0.0001898991634988727,0.3148256937067509,0.9898500000000001,0.990256,,
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,4_attr,0.888896,0.9004300000000001,-22543.064435324362,0.9889200000000001,0.9891140000000002,0.960016,0.95969,0.0005375711681267876,-22542.40977007516,0.3566474525049115,0.0004891277105781704,0.28635425365296857,0.98714,0.9877819999999999,0.9547599999999999,0.9544079999999999
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_loss,2_attr,0.982638,0.987176,-22525.707791732595,0.9935320000000002,0.993636,,,0.0002037992305743943,-22501.88449910997,1.1581070027834086,0.00020698286466078097,0.9679683462085699,0.9911340000000002,0.991482,,
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_loss,4_attr,0.8929360000000002,0.9019400000000002,-22213.00926572389,0.990214,0.991662,0.959182,0.9579860000000001,0.0005657707270242759,-22178.827374406646,1.4224447864727912,0.0004538804616661524,1.065187361479705,0.9889219999999999,0.989114,0.9564159999999999,0.95391
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_acc,2_attr,0.9841900000000001,0.9869100000000002,-22373.076996143198,0.9931720000000002,0.9937379999999999,,,0.00019464510293993218,-22361.18142108386,1.104688414401031,0.0002054393431646086,1.0583156633684245,0.9918060000000001,0.9923280000000001,,
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_acc,4_attr,0.892944,0.9018820000000001,-22206.632492088607,0.9902080000000001,0.991612,0.9591919999999999,0.95805,0.0005253889332970943,-22170.723013746043,1.393947995685572,0.0004374473008514511,1.0974282093989207,0.9888860000000002,0.989138,0.956268,0.9539300000000001
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_loss,2_attr,0.983696,0.9868320000000002,-22167.89270668513,0.9933379999999999,0.9934919999999999,,,0.00018354948673925838,-22158.05972359573,0.9646849534637364,0.0001687144605409889,0.6931079547968478,0.9920680000000001,0.991578,,
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_loss,4_attr,0.8975699999999999,0.9062220000000002,-21919.8774896163,0.9921539999999999,0.9923259999999999,0.9595639999999999,0.9595720000000001,0.00037721549256534515,-21893.515439082283,1.135822761728811,0.0003498772139529772,0.9877384984210518,0.9898100000000001,0.989682,0.9572080000000001,0.9567
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_acc,2_attr,0.9844700000000001,0.986936,-21639.694345826738,0.9935339999999999,0.9933939999999999,,,0.00020179651273559288,-21637.309391317245,0.9369572989746391,0.00015981583964437532,0.7687109483187872,0.991704,0.992744,,
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_acc,4_attr,0.90121,0.9074120000000001,-21765.972183544305,0.991152,0.9915720000000001,0.9611400000000002,0.9610219999999999,0.0004668153927534363,-21751.59844738924,1.0644012135275542,0.0003323037885509139,0.7988888964523165,0.9895499999999999,0.9895480000000001,0.9593260000000001,0.958828
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,2_attr,0.9823860000000001,0.9859920000000001,-22405.568082476264,0.9930559999999999,0.9929240000000001,,,0.0002188620824741009,-22386.826964992088,1.2247235473862879,0.00019846827828065664,1.0136753072650815,0.9911,0.9912199999999999,,
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,4_attr,0.893258,0.902944,-22220.064744363128,0.991268,0.991528,0.9601820000000001,0.957734,0.0004343616891925382,-22184.088609572784,1.0710317336065007,0.0003538995558857,1.0294894363521223,0.9896400000000003,0.988596,0.9559939999999999,0.9545180000000001
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,2_attr,0.9837480000000001,0.9866340000000001,-22110.377114814088,0.993258,0.993376,,,0.00019294314454249283,-22100.43224683544,0.9730331151289827,0.00019263278209697476,0.8676294244256825,0.99157,0.992098,,
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,4_attr,0.8925160000000001,0.9023559999999999,-22212.692149426424,0.9911619999999999,0.9916339999999999,0.9597880000000001,0.957498,0.00042462394480943366,-22176.65821103639,1.0902180113726065,0.0003972603282531664,1.0065759163970232,0.989648,0.9886679999999999,0.955568,0.95415
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,2_attr,0.981902,0.985726,-22249.717211234172,0.9925020000000001,0.9932160000000002,,,0.00025377090110353907,-22231.056365704113,1.4115316767011108,0.00018299636687467717,1.0500922541013649,0.990752,0.99104,,
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,4_attr,0.90007,0.9090760000000002,-21950.50489517405,0.9908299999999999,0.9921519999999999,0.9628560000000002,0.9607340000000001,0.0003970565489123492,-21923.908835541926,1.2193590553007057,0.00048640091772064,1.2109831459825997,0.9899219999999999,0.989868,0.9594119999999999,0.9568440000000001
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,2_attr,0.982796,0.9863600000000001,-22185.752823378163,0.992842,0.993514,,,0.0001976460188220634,-22171.43684533228,1.1966750465492109,0.0002011215035034987,1.047522795664045,0.9910680000000001,0.9916339999999999,,
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,4_attr,0.9003660000000001,0.9091879999999999,-21915.147135581483,0.990946,0.9921719999999999,0.962584,0.9608720000000001,0.0004371050279635949,-21890.46414556962,1.1995998454829147,0.00047709706573230036,1.199632674324389,0.9897099999999999,0.9897800000000001,0.9596140000000001,0.9572059999999999
3.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_loss,2_attr,0.984902,0.988702,-21860.355401503166,0.9944300000000001,0.99425,,,0.00016325765417760278,-21805.517363528477,2.1269493531848127,0.00016406338229694526,2.1825719980859755,0.9924080000000001,0.992436,,
3.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_loss,4_attr,0.8929100000000001,0.901512,-21309.027304193038,0.9912000000000002,0.991942,0.95911,0.95663,0.0003957675358743071,-21213.91356012658,2.5690345463876105,0.0004416081644538043,3.055898383269952,0.989932,0.9888380000000001,0.9545219999999999,0.95485
3.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_acc,2_attr,0.9857680000000001,0.988888,-21599.50641119462,0.994378,0.9944700000000001,,,0.00015152283207524282,-21558.21831487342,1.7220268118046713,0.00015572878436398668,2.0089774361113713,0.9928919999999999,0.9928699999999999,,
3.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_acc,4_attr,0.893452,0.9019419999999999,-21295.463931467562,0.991192,0.9918560000000001,0.9592099999999999,0.9570819999999999,0.0004008571923336108,-21203.545349584656,2.723004689940777,0.000426318095154062,3.006213947420927,0.9898140000000001,0.9890020000000002,0.9546779999999999,0.9553119999999998
3.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_loss,2_attr,0.9843780000000001,0.9888080000000001,-21671.863793512657,0.9941359999999999,0.994672,,,0.00014953537107480536,-21605.157117286395,1.630640446478697,0.00016074961322628688,1.9225457559671775,0.99167,0.992664,,
3.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_loss,4_attr,0.8997779999999999,0.907574,-21047.665080102848,0.992438,0.9925439999999999,0.9607499999999999,0.959474,0.00044505293437311033,-20976.618893393985,2.5586713217551513,0.000386477442703601,2.5469432606266333,0.990256,0.990042,0.9573459999999998,0.95749
3.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_acc,2_attr,0.9865440000000001,0.9899720000000001,-21509.846135284813,0.9946940000000001,0.9952759999999999,,,0.00015386747667075682,-21464.39663864715,1.6317947690538552,0.00015027757942430683,1.768028803572699,0.9928480000000001,0.9936039999999999,,
3.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_acc,4_attr,0.8999940000000002,0.9078460000000002,-21045.91622181566,0.992486,0.9926999999999999,0.960874,0.9596660000000001,0.0004398792231806546,-20972.545167128163,2.4750092208293366,0.00037581282857286906,2.433013994667304,0.9903259999999999,0.9898620000000001,0.9578620000000001,0.9572200000000001
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,2_attr,0.985564,0.9875139999999999,-22013.23449367089,0.993716,0.993784,,,0.00017704011237656053,-21987.250565170092,2.059561552645282,0.00016401515022986486,2.3905714839627623,0.9929640000000001,0.992532,,
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,4_attr,0.896122,0.9035579999999999,-21344.95448328718,0.990656,0.9915299999999999,0.960168,0.9582679999999999,0.0004771540682070296,-21263.820780261074,3.250865100357894,0.0003950104699241467,2.305778459446139,0.9907540000000001,0.989424,0.9568979999999999,0.9547720000000001
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,2_attr,0.987192,0.9888379999999999,-21357.86613577927,0.9946079999999999,0.9942159999999999,,,0.00014692774915507558,-21339.846296973894,2.0961695660586486,0.00019789022339281826,2.3664828691944746,0.9935600000000001,0.9935540000000002,,
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,4_attr,0.896182,0.9040420000000001,-21318.148141317248,0.990822,0.9914740000000001,0.960812,0.95813,0.00043049654695526173,-21234.57399574762,3.187353215808622,0.0003633643913539235,2.257760954010508,0.9907920000000001,0.989734,0.957054,0.954334
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,2_attr,0.98505,0.987812,-21733.22939280064,0.9935639999999999,0.994248,,,0.00017236888188178431,-21700.51593255538,2.4576636816019297,0.00017562673019210604,2.4267889185519005,0.9925280000000001,0.9924740000000001,,
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,4_attr,0.9029900000000002,0.909832,-21133.61040941456,0.992004,0.9924180000000001,0.962484,0.9605759999999998,0.00042321988996224703,-21068.15199020965,2.3557437710493403,0.0003648289273360903,2.388651682966308,0.991298,0.990622,0.9591940000000001,0.957834
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,2_attr,0.9859300000000001,0.9874640000000001,-21177.161661886865,0.993196,0.9942660000000001,,,0.0001547317004446746,-21167.8248580894,2.0423842396578675,0.00019118552171204785,2.121758550592679,0.9927699999999998,0.9931580000000001,,
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,4_attr,0.9032039999999999,0.9107779999999999,-21116.97100178006,0.9920279999999999,0.99212,0.963532,0.960658,0.00039832939050481506,-21052.602026799843,2.321695954387059,0.0003876051674767817,2.45734730454741,0.9910900000000001,0.99043,0.9592399999999999,0.9584860000000001
