temperature,seed,consistency_ratio,ci_margin
0.0,original,1.0,
0.0,89250,1.0,
0.0,773956,1.0,
0.0,654571,1.0,
0.0,438878,1.0,
0.0,aggregate,1.0,0.0
0.2,original,1.0,
0.2,89250,1.0,
0.2,773956,1.0,
0.2,654571,1.0,
0.2,438878,1.0,
0.2,aggregate,1.0,0.0
0.4,original,0.9991600221395492,
0.4,89250,0.9994500190019607,
0.4,773956,0.9997400081157685,
0.4,654571,0.9997000139951706,
0.4,438878,0.9996000134944916,
0.4,aggregate,0.9995300153493881,0.00029198292766279666
0.6,original,0.9794700437784195,
0.6,89250,0.9856400418281556,
0.6,773956,0.9895000422000885,
0.6,654571,0.9893800413608551,
0.6,438878,0.9909600430727005,
0.6,aggregate,0.9869900424480438,0.005762243434937306
0.8,original,0.9020000422000884,
0.8,89250,0.9211300432682037,
0.8,773956,0.9275100445747375,
0.8,654571,0.9282000434398651,
0.8,438878,0.9420100444555283,
0.8,aggregate,0.9241700435876845,0.018061972589784342
