temperature,seed,consistency_ratio,ci_margin
0.0,original,0.99,
0.0,89250,1.0,
0.0,773956,1.0,
0.0,654571,1.0,
0.0,438878,1.0,
0.0,aggregate,0.998,0.005552890210395602
0.2,original,0.9196700415015221,
0.2,89250,0.9499700337648391,
0.2,773956,0.9599600374698639,
0.2,654571,0.9724100363254548,
0.2,438878,0.9652700382471084,
0.2,aggregate,0.9534560374617577,0.02555817214261678
0.4,original,0.7866300383210182,
0.4,89250,0.8201000386476517,
0.4,773956,0.8247800427675247,
0.4,654571,0.8346800434589386,
0.4,438878,0.8236000382900238,
0.4,aggregate,0.8179580402970315,0.02276032354943614
0.6,original,0.5487900272011756,
0.6,89250,0.5650700250267983,
0.6,773956,0.5509100246429444,
0.6,654571,0.5737700313329697,
0.6,438878,0.5590200251340867,
0.6,aggregate,0.5595120266675949,0.0127743605626945
0.8,original,0.3370600140094757,
0.8,89250,0.3385700166225433,
0.8,773956,0.32220001474022864,
0.8,654571,0.34326001673936846,
0.8,438878,0.3377500143647194,
0.8,aggregate,0.3357680152952671,0.009887994916272303
