temperature,seed,consistency_ratio,ci_margin
0.0,original,1.0,
0.0,89250,1.0,
0.0,773956,0.91,
0.0,654571,1.0,
0.0,438878,0.99,
0.0,aggregate,0.9800000000000001,0.048884360493667206
0.2,original,0.9265200367569923,
0.2,89250,0.95422003865242,
0.2,773956,0.9486800345778466,
0.2,654571,0.967500034570694,
0.2,438878,0.95299003303051,
0.2,aggregate,0.9499820355176926,0.018480048682224214
0.4,original,0.7733200380206108,
0.4,89250,0.8243200361728669,
0.4,773956,0.8189000403881073,
0.4,654571,0.8155100387334824,
0.4,438878,0.8179100358486175,
0.4,aggregate,0.809992037832737,0.025767315143460114
0.6,original,0.5474800258874893,
0.6,89250,0.5741800275444985,
0.6,773956,0.5478600257635117,
0.6,654571,0.5727100253105164,
0.6,438878,0.5650000265240669,
0.6,aggregate,0.5614460262060165,0.016204689890305313
0.8,original,0.3488700167834759,
0.8,89250,0.35111001670360564,
0.8,773956,0.3288600151240826,
0.8,654571,0.35900001659989356,
0.8,438878,0.3500900164246559,
0.8,aggregate,0.3475860163271427,0.013899980305641286
