temperature,seed,consistency_ratio,ci_margin
0.0,original,1.0,
0.0,89250,1.0,
0.0,773956,1.0,
0.0,654571,1.0,
0.0,438878,1.0,
0.0,aggregate,1.0,0.0
0.2,original,1.0,
0.2,89250,1.0,
0.2,773956,1.0,
0.2,654571,1.0,
0.2,438878,1.0,
0.2,aggregate,1.0,0.0
0.4,original,1.0,
0.4,89250,1.0,
0.4,773956,1.0,
0.4,654571,1.0,
0.4,438878,1.0,
0.4,aggregate,1.0,0.0
0.6,original,0.9996200162172317,
0.6,89250,0.9997200143337249,
0.6,773956,0.9992900270223618,
0.6,654571,0.9997200167179108,
0.6,438878,0.999840008020401,
0.6,aggregate,0.9996380164623261,0.0002602085637671003
0.8,original,0.9893900436162949,
0.8,89250,0.9922000426054001,
0.8,773956,0.9854700446128846,
0.8,654571,0.9927100443840027,
0.8,438878,0.9928700423240662,
0.8,aggregate,0.9905280435085297,0.003922561007677463
