epoch,train_loss,val_loss,train_acc,val_acc,lr
1,195425.72856970393,-1754.4552650934534,0.50426,0.7286,0.001
2,-2092.0755515330284,-2280.3768078767803,0.80082,0.8165,0.001
3,-2622.373646923953,-2821.773598200158,0.87812,0.8758,0.001
4,-2860.93640417699,-2657.7389425929587,0.91328,0.8606,0.001
5,-3069.3167896319533,-3100.2520705597312,0.9385,0.8868,0.001
6,-3160.6480035416002,-3081.4518919353245,0.95264,0.886,0.001
7,-3249.9011611353103,-3149.5290125593356,0.96302,0.9012,0.001
8,-3325.468997262628,-3298.2030940961236,0.96716,0.8971,0.001
9,-3423.3565595778055,-3378.7272547468356,0.97436,0.9075,0.001
10,-3362.71465923963,-3249.4604461283625,0.96932,0.9038,0.001
11,-3489.10623894811,-3512.6917307407043,0.98022,0.9068,0.001
12,-3558.4399139326247,-3467.1867799396755,0.98178,0.8948,0.001
13,-3600.5991866558106,-3502.6863472854034,0.98496,0.8996,0.001
14,-3632.520091961717,-3594.097739690467,0.98514,0.8998,0.001
15,-3694.1498973485454,-3485.6294439774524,0.98834,0.8872,0.001
16,-3700.300069433344,-3695.2155823526505,0.98708,0.9079,0.001
17,-3745.361662179308,-3700.622088854826,0.989,0.9053,0.001
18,-3747.069375274736,-3429.1143381625793,0.98982,0.8938,0.001
19,-3787.643531584679,-3710.8260729825947,0.99008,0.903,0.001
20,-3785.044589693894,-3732.0756156052216,0.9901,0.8978,0.001
21,-3812.9015370244565,-3657.7593020668514,0.99092,0.8891,0.001
22,-3812.348951881194,-3696.4418790793115,0.98852,0.9013,0.001
23,-3842.757706351902,-3680.2835801522942,0.99018,0.8938,0.001
24,-3873.288152123961,-3756.5982403332673,0.99208,0.9035,0.001
25,-3907.9587558443895,-3794.4055608435524,0.99316,0.9015,0.001
26,-3914.933683663683,-3695.9200949367087,0.99358,0.8845,0.001
27,-3927.3733478360773,-3808.98153802413,0.99284,0.8936,0.001
28,-3927.0864232836475,-3754.3703211530856,0.99274,0.8974,0.001
29,-3933.8057608445893,-3786.24502447587,0.99338,0.9074,0.001
30,-3979.932383037284,-3848.5943866198577,0.99546,0.8968,0.001
31,-3982.76439867727,-3861.6741804291933,0.99322,0.8996,0.001
32,-3999.257563988571,-3871.2214479084255,0.99328,0.8984,0.001
33,-4018.8010690986653,-3929.423414013054,0.9951,0.9124,0.001
34,-4024.4370960128276,-3938.0169816801817,0.9955,0.9044,0.001
35,-4047.647956087156,-3912.748216846321,0.99622,0.903,0.001
36,-4056.730939548034,-3891.7571882416933,0.99608,0.9028,0.001
37,-4058.4092658547793,-3966.923376928402,0.99532,0.9096,0.001
38,-4047.598880075128,-3888.073270000989,0.99326,0.905,0.001
39,-3810.9590965329535,-3907.3985363924053,0.98156,0.9075,0.001
40,-4044.7864406419835,-3814.6844992335837,0.99338,0.8876,0.001
41,-4088.9729540890744,-3957.747295910799,0.9957,0.8997,0.001
42,-4104.320223835119,-3940.5269141861154,0.99642,0.9053,0.001
43,-4126.239501328724,-3962.7851995154274,0.99742,0.9124,0.001
44,-4129.290775855179,-3906.0070677165745,0.99658,0.8988,0.001
45,6671124094788.045,66134.09103045886,0.2573,0.0109,0.001
46,-567.6009379335682,-3233.491436535799,0.70338,0.8294,0.001
47,-3598.9748366568097,-3702.898626013647,0.94336,0.8938,0.001
48,-3896.8463418867887,-3929.888925286788,0.97946,0.9075,0.001
49,-4029.7449273697252,-3955.6138406101663,0.99258,0.9053,0.001
50,-4079.134843675072,-3963.3781336530856,0.99562,0.9124,0.001
51,-4105.880314897699,-4031.0368343304986,0.99648,0.9119,0.001
52,-4129.419154486693,-4010.0010939972312,0.99812,0.9025,0.001
53,-4150.549497482417,-4002.090050805973,0.99824,0.9123,0.001
54,-4160.698434502877,-4002.3009728540346,0.9979,0.9036,0.001
55,-4172.640551945133,-4026.903790051424,0.99808,0.9147,0.001
56,-4190.28475476043,-4085.4329509493673,0.99814,0.9112,0.001
57,-4179.2819799242725,-4000.952457476266,0.99678,0.9081,0.001
58,-4187.348201976103,-4086.31172122231,0.99726,0.9049,0.001
59,-4186.927482741568,-4055.8162331882913,0.9958,0.9083,0.001
60,-4181.885911400056,-3971.7349683544303,0.99496,0.8937,0.001
61,-4158.5033642703,-4038.6580918710442,0.99492,0.9037,0.001
62,-4157.42170079224,-4063.6015223249606,0.9937,0.8997,0.001
63,375180866.70662415,4205775.844936709,0.39274,0.0086,0.001
64,209526.76817134456,-3609.9956641861154,0.65332,0.8613,0.001
65,-3865.0985229179987,-3890.6974603194226,0.96598,0.9005,0.001
66,-4070.3447546605257,-4000.5069502818433,0.99008,0.9086,0.001
67,-4168.208055891344,-4073.0554322834255,0.9969,0.9136,0.0005
68,-4259.016592820892,-4150.125639710245,0.9991,0.9137,0.0005
69,-4284.6984357516785,-4151.939947587025,0.99958,0.917,0.0005
70,-4300.517536914562,-4175.643962618671,0.99962,0.9158,0.0005
71,-4313.996973530411,-4115.54156880439,0.99966,0.9096,0.0005
72,-4321.423319862932,-4146.23617051523,0.9997,0.9192,0.0005
73,-4319.720731847427,-4173.327117533623,0.99948,0.916,0.0005
74,-4329.637243246483,-4155.410659983188,0.99972,0.9158,0.0005
75,-4340.83807544757,-4133.598994387856,0.99964,0.9062,0.0005
76,-4343.139195122682,-4176.2824768839,0.9998,0.9136,0.0005
77,-4348.713739809783,-4190.041129969343,0.99974,0.9193,0.0005
78,-4356.070232576726,-4191.853527986551,0.99964,0.9174,0.0005
79,-4359.634997902014,-4185.388872750198,0.99966,0.9121,0.0005
80,-4360.030875359655,-4192.692175756527,0.9998,0.9149,0.0005
81,-4364.795313998561,-4193.209398486946,0.9998,0.9124,0.0005
82,-4368.953249255715,-4140.4619171528875,0.99956,0.9072,0.0005
83,-4373.961021169677,-4181.199020965189,0.9994,0.9129,0.0005
84,-4381.609402473625,-4194.659263127966,0.99964,0.9187,0.0005
85,-4382.762581671595,-4201.809372527689,0.9996,0.9142,0.0005
86,-4387.700722306586,-4208.739659562895,0.99956,0.917,0.0005
87,-4393.42807030251,-4203.230147349684,0.9997,0.9131,0.0005
88,-4395.933465123481,-4200.210365778284,0.9996,0.9173,0.0005
89,-4402.470904181985,-4219.690612020372,0.99976,0.9156,0.0005
90,-4403.468232996323,-4209.936619239517,0.9996,0.9143,0.0005
91,-4361.133084738651,-4189.797289111946,0.99926,0.9156,0.0005
92,-4394.900665985654,-4172.090035354035,0.99924,0.9099,0.0005
93,-4403.671360493926,-4212.635179736946,0.99964,0.9176,0.0005
94,-4397.027212625879,-4200.231612193434,0.99958,0.917,0.0005
95,-4378.029888182345,-4215.442586778086,0.99956,0.9118,0.0005
96,-4416.23563379156,-4182.2272887411,0.99968,0.9139,0.0005
97,-4424.3228837815695,-4217.325346741495,0.9999,0.9111,0.0005
98,-4424.447570332481,-4216.222118522547,0.99982,0.9119,0.0005
99,-4427.736328125,-4211.8879363627375,0.99974,0.9114,0.0005
100,-4428.577021059783,-4210.3244536194625,0.99976,0.9128,0.0005
101,-4430.692587615888,-4218.648051201542,0.99982,0.91,0.0005
102,-4431.449102611493,-4204.321752620649,0.99974,0.9077,0.0005
103,-4437.311267433264,-4221.478388919106,0.9997,0.9134,0.0005
104,-4438.487985284127,-4205.631211679193,0.9998,0.9102,0.0005
105,-4439.3596534826565,-4218.5732700009885,0.99966,0.9102,0.0005
106,-4442.964796295556,-4192.218431690071,0.99984,0.9138,0.0005
107,-4445.312576176871,-4205.820686436907,0.9999,0.9063,0.0005
108,-4448.14983740609,-4218.514824589596,0.99986,0.9058,0.0005
109,-4445.372531120125,-4208.471237762064,0.99958,0.9083,0.0005
110,-4431.040489879715,-4125.2898041930375,0.999,0.9043,0.0005
111,-4439.507362931586,-4214.885420787184,0.99968,0.9132,0.0005
112,-4445.280332131154,-4205.66595072686,0.99982,0.9122,0.0005
113,-4457.029027133952,-4214.1115938983385,0.99988,0.9123,0.0005
114,-4460.205931056186,-4203.756554712223,0.99964,0.9073,0.0005
115,-4458.142952765345,-4212.026911095728,0.9997,0.9062,0.0005
116,-4462.120652923194,-4215.1215851216375,0.99992,0.9098,0.0005
117,-4462.04884935462,-4214.437364022943,0.99976,0.9102,0.0005
118,-4466.708717131553,-4186.318374826938,0.99976,0.9035,0.0005
119,-4457.9510419996805,-4182.845873096321,0.99956,0.9038,0.0005
120,-4459.787773737212,-4188.069873664953,0.9996,0.9063,0.0005
121,-4444.395787543958,-4218.345746390427,0.9993,0.9085,0.0005
122,-4472.144015495125,-4215.154744981211,0.99986,0.9039,0.0005
123,-4477.629111053388,-4161.329413691654,0.9999,0.9047,0.0005
124,-4478.907616188459,-4191.599275613133,0.99982,0.9085,0.0005
125,-4478.933244085678,-4211.171028233782,0.99994,0.9094,0.0005
126,-4482.885161494964,-4228.594918166535,0.99984,0.9089,0.0005
127,-4483.910859325048,-4175.277850573576,0.99988,0.9087,0.0005
128,-4478.930050901135,-4198.087646484375,0.99988,0.9081,0.0005
129,-4481.147207430867,-4218.893217835245,0.9994,0.905,0.0005
130,-4487.250583190137,-4180.005337099486,0.99958,0.8988,0.0005
131,-4488.239412663843,-4144.571925682358,0.99986,0.906,0.0005
132,-4491.967301390665,-4197.503161466574,0.99986,0.9051,0.0005
133,-4478.204963235294,-4169.259237168711,0.99978,0.9077,0.0005
134,-4491.437522478421,-4196.042786417128,0.99986,0.9052,0.0005
135,-4488.397763147378,-4182.66048692148,0.99978,0.906,0.0005
136,-4495.77624855139,-4179.378964967365,0.99994,0.9084,0.0005
137,-4495.593903602542,-4200.723258875593,0.99992,0.9037,0.0005
138,-4494.176273277653,-4191.681343947785,0.99976,0.9045,0.0005
139,-4499.00080297914,-4169.31591796875,0.99984,0.9018,0.0005
140,-4472.0368571171675,-4174.22641725178,0.9996,0.8975,0.0005
141,-4487.67105079124,-4143.5527251038375,0.99926,0.8988,0.0005
142,-4490.474944053708,-4171.0288116841375,0.99924,0.9024,0.0005
143,-4500.784908987373,-4201.231979949564,0.99972,0.9074,0.0005
144,-4502.214969878916,-4038.0057203075553,0.99982,0.9029,0.0005
145,-4496.216964214354,-4187.413438241693,0.9997,0.9047,0.0005
146,-4508.302739370205,-4167.284946103639,0.99992,0.9089,0.0005
147,-4492.898281399856,-4192.3144438538375,0.99974,0.9055,0.0005
148,-4502.068816436221,-4144.520860116693,0.99968,0.9045,0.0005
149,-4498.48055491728,-4150.1872589497625,0.99976,0.9013,0.0005
150,-4508.76037254236,-4189.0800750346125,0.9997,0.9046,0.0005
151,-4513.339660176231,-4161.757781596123,0.99998,0.9061,0.0005
152,-4510.423289891704,-4176.800367138054,0.99982,0.9044,0.0005
153,-4516.106110633792,-4177.656055305578,0.99996,0.9059,0.0005
154,-4502.233508332001,-4059.6825028431567,0.99966,0.9005,0.0005
155,-4500.955673803149,-4146.522935312006,0.9993,0.9069,0.0005
156,-4516.488030240968,-3992.2341184978245,0.99972,0.9032,0.0005
157,-4509.315585787644,-4177.840270223497,0.9998,0.9013,0.0005
158,-4516.056768002717,-4157.002472310127,0.99996,0.9041,0.0005
159,-4516.436582131154,-3919.2728781398337,0.9999,0.9028,0.0005
160,-4521.586300901135,-4174.8356964497625,0.9998,0.9024,0.0005
161,-4521.341810611812,-4166.55160020273,0.99956,0.9042,0.0005
162,-4525.976229070093,-4162.403239962421,0.99986,0.9061,0.0005
163,-4501.652994375399,-4140.192008875593,0.999,0.9021,0.0005
164,-4511.813743805947,-4177.118714151503,0.99944,0.9064,0.0005
165,-4525.773215213395,-4144.645121514042,0.99992,0.9106,0.0005
166,-4529.731881144102,-4177.805444644976,0.99994,0.9047,0.0005
167,-4529.590303308823,-4152.978453817247,0.99984,0.9004,0.0005
168,-4526.668194783008,-4170.864471049248,0.9999,0.8984,0.0005
169,-4533.380659566816,-4195.284250766416,0.99992,0.9072,0.0005
170,-4510.460271888986,-4171.607122107397,0.99918,0.9,0.0005
171,-4501.305050901135,-4209.202166979826,0.99904,0.9057,0.0005
172,-4516.93679442735,-4184.158845925633,0.99974,0.9046,0.0005
173,-4527.184967431266,-4206.712566134296,0.99992,0.907,0.0005
174,-4528.957970348465,-4162.2588168759885,0.99992,0.9026,0.0005
175,-4528.182981837436,-4175.262491346914,0.99992,0.9082,0.0005
176,-4535.351303998162,-4178.431816777096,0.99988,0.9059,0.0005
177,-4535.289137428069,-3777.8385056121438,0.9999,0.9001,0.0005
178,-4539.006117876838,-4147.594983064676,0.99988,0.9066,0.0005
179,-4529.865303059063,-4109.322299619264,0.99902,0.9074,0.0005
180,-4537.611459249121,-4179.097053624407,0.99956,0.9003,0.0005
181,-4534.725491028613,-4183.181708613529,0.9998,0.9067,0.0005
