epoch,train_loss,val_loss,train_acc,val_acc,lr
1,185797.58148621416,-1494.4342829064478,0.26948,0.6464,0.001
2,-1673.6980742237452,-2290.573307085641,0.58156,0.8363,0.001
3,-2142.96522369775,-2601.1177252274524,0.7404,0.8785,0.001
4,-2414.371693798953,-2671.1894871192644,0.80748,0.8345,0.001
5,-2565.875681533228,-2965.0389728787577,0.83536,0.9073,0.001
6,-2663.551665401215,-3017.8083434285995,0.85184,0.9075,0.001
7,-2778.4047595558263,-2998.6068995994856,0.86606,0.8976,0.001
8,-2854.1464431645622,-3161.1510426967957,0.87314,0.9151,0.001
9,-2900.2732120913925,-3084.7820256873024,0.87992,0.9178,0.001
10,-2945.6820876958122,-3176.537523486946,0.88754,0.898,0.001
11,-2997.3400972566337,-3283.8435460344144,0.88802,0.9184,0.001
12,-3010.9877717391305,-3280.8626600820808,0.8919,0.9111,0.001
13,-3069.000235399017,-3352.70732174644,0.89544,0.9209,0.001
14,-3115.3573844109656,-3303.46337890625,0.89954,0.9096,0.001
15,-3145.2701587725783,-3368.9541015625,0.9012,0.9229,0.001
16,-3156.5234999400577,-3440.0174452383308,0.90338,0.9282,0.001
17,-3176.249662823689,-3426.372416435918,0.90236,0.9214,0.001
18,-3193.653395240569,-3388.133140081092,0.90258,0.9237,0.001
19,-3223.176556755515,-3551.01611328125,0.90798,0.9308,0.001
20,-3252.2203328554588,-3535.9188371489317,0.9103,0.9263,0.001
21,-3280.6573270909926,-3581.5813977205303,0.91262,0.9231,0.001
22,-3286.5479851842233,-3594.8930355023736,0.91308,0.9189,0.001
23,-3294.6181440816817,-3600.8167183791534,0.91184,0.9293,0.001
24,-3258.0519644890906,-3617.898428228837,0.90938,0.9309,0.001
25,-3345.988630914322,-3552.0044563390034,0.91596,0.9186,0.001
26,-3333.6734865778853,-3597.5597371934336,0.91314,0.9186,0.001
27,-3373.2193213265264,-3572.823937524723,0.91596,0.9194,0.001
28,-3381.487490134471,-3346.296488701543,0.91868,0.8832,0.001
29,-3350.01537523977,-3645.9193347013447,0.9168,0.9265,0.001
30,-3421.076582106178,-3698.666071251978,0.92162,0.9149,0.001
31,-3425.5601847226662,-3718.6673599436313,0.91912,0.9237,0.001
32,-3449.963403882273,-3711.8767677017404,0.92382,0.927,0.001
33,-3445.7388138636907,-3648.3134889240505,0.9221,0.9196,0.001
34,-3470.4478338295235,-3615.213932085641,0.92548,0.9252,0.001
35,-3485.2229016394263,-3646.4486099436313,0.92342,0.9072,0.001
36,-3486.7530008691656,-3557.7809069669697,0.92482,0.926,0.001
37,-3473.518921210638,-3710.4614226908625,0.92262,0.9097,0.001
38,-3502.254390160446,-3815.4412795441062,0.92446,0.9344,0.001
39,-3504.950037963555,-3752.759728540348,0.92442,0.9252,0.001
40,-3512.363717081602,-3224.82080078125,0.92686,0.8575,0.001
41,-3526.8803161464994,-3822.8564113182356,0.92674,0.9275,0.001
42,-3541.2232687869646,-3731.7471135779274,0.92688,0.9283,0.001
43,-3548.4824499730257,-3801.3327420391615,0.92852,0.9314,0.001
44,-3543.0802654451727,-3639.4249283030063,0.9275,0.9018,0.001
45,-3570.621330397818,-3808.5991736303404,0.92796,0.9334,0.001
46,-3581.3475550971066,-3701.5174019729034,0.93102,0.9269,0.001
47,-3539.0659829064098,-3820.7666695510284,0.92762,0.9253,0.001
48,-3589.5444754285886,-3862.7966710344144,0.93126,0.9403,0.001
49,-3589.467717241448,-3892.4950553797466,0.92702,0.9262,0.001
50,-3611.8310559363013,-3930.7520705597312,0.93156,0.942,0.001
51,-522.9062893372362,-3901.015155261076,0.92768,0.9377,0.001
52,-3515.347415699678,-3804.900869635087,0.92314,0.9095,0.001
53,-3616.58068566676,-3822.355777788766,0.93046,0.9381,0.001
54,280040002.8433306,-3354.002187994462,0.5064,0.9181,0.001
55,-3457.8833850753276,-3858.8661800336236,0.92136,0.9332,0.001
56,-3609.764263182345,-3922.6116402541534,0.93036,0.9282,0.001
57,-3633.4069817974746,-3880.7086289804192,0.93306,0.9327,0.001
