epoch,train_loss,val_loss,train_acc,val_acc,lr
1,196485.095470848,417.36977135380613,0.52508,0.8928,0.001
2,783.2052899919203,-251.666217321082,0.8402,0.9336,0.001
3,220.88729145703718,-983.9197719911986,0.8749,0.9474,0.001
4,-90.54168650927141,-967.6051913877077,0.89126,0.9368,0.001
5,-251.5106962257639,-1075.8049215968651,0.89764,0.942,0.001
6,-440.3211365624157,-1415.7617357471322,0.90544,0.9557,0.001
7,-561.1206028101694,-1448.9348932580103,0.9111,0.951,0.001
8,-629.4177405218334,-1390.4733253189281,0.91354,0.9526,0.001
9,-726.4350531302449,-1605.4428185571599,0.91612,0.9563,0.001
10,-838.7774365515355,-1797.2806025637856,0.91918,0.9599,0.001
11,-919.4716223987472,-1782.4536240976067,0.9208,0.9573,0.001
12,-666.1151279927519,-1087.9922431269779,0.91848,0.9266,0.001
13,-665.3358861820777,-1916.1849257070808,0.92126,0.9595,0.001
14,-1008.0291452237102,-1990.2002633010284,0.92218,0.9599,0.001
15,-1051.6459141411744,-1681.72788209553,0.92214,0.951,0.001
16,-1190.4709010599825,-2066.754413073576,0.92792,0.9588,0.001
17,-1196.8581819266005,-2029.0764747329906,0.92594,0.9613,0.001
18,-1251.6058861617846,-2081.0366365456885,0.9263,0.957,0.001
19,-1306.364173050122,-2155.4577142256726,0.9288,0.9583,0.001
20,-1303.1172143492247,-2223.1636731111553,0.93022,0.96,0.001
21,-1379.0740849721767,-2193.1940438958663,0.93042,0.9581,0.001
22,-1391.632051902049,-2150.593847347211,0.92964,0.9506,0.001
23,-1413.531162115619,-2209.038850808445,0.93086,0.9531,0.001
24,-1449.3389700574949,-2324.0141848793514,0.92994,0.9605,0.001
25,-1454.349054907289,-2182.4412579113923,0.93134,0.9571,0.001
26,-1460.9478318002218,-2405.8020977551423,0.93306,0.9667,0.001
27,-1456.785363394891,-2091.89407541782,0.93318,0.9523,0.001
28,-1476.5714779436742,-2372.646586357793,0.93294,0.9601,0.001
29,-1214.4922143492247,-2193.1504493423654,0.9312,0.962,0.001
30,-1520.4707374670315,-2358.014929662777,0.93354,0.9589,0.001
31,-1544.5255475056447,-2472.6468923061707,0.93352,0.9637,0.001
32,-1553.991631783488,-2406.5812679242486,0.93352,0.9629,0.001
33,-1589.018972411485,-2374.4439465486553,0.93476,0.9616,0.001
34,-1558.7228691705961,-2393.5207395915745,0.93284,0.9554,0.001
35,-1574.0379576231817,-2447.226843725277,0.93428,0.9611,0.001
36,-1570.9344469933862,-2374.7288772003562,0.93454,0.9618,0.001
37,-1624.8911507452844,-2467.7117317296284,0.93596,0.9612,0.001
38,-1534.4963733253576,-2510.946279791337,0.93542,0.9653,0.001
39,-1610.9506723545396,-2491.4564935225476,0.93504,0.9593,0.001
40,-1651.3567793668078,-2463.5418654816062,0.9362,0.96,0.001
41,-1614.0279725213795,-2487.8427888894385,0.93478,0.9656,0.001
42,-1670.9722344674112,-2431.700448724288,0.93756,0.9595,0.001
43,-1670.74556207291,-2500.642748096321,0.9362,0.9625,0.001
44,-1662.0918964668917,-2343.566568495352,0.9366,0.9574,0.001
45,-1706.4369923623321,-2529.74092044106,0.9394,0.9654,0.001
46,-1723.199684240629,-2538.8650860363923,0.93834,0.9621,0.001
47,-1673.2143954303867,-2556.044649920886,0.93642,0.9585,0.001
48,-1709.4735987826687,-2614.9173568532437,0.93858,0.9651,0.001
49,-1718.299722266624,-2500.8326091524923,0.93838,0.9605,0.001
50,-1727.6803606038204,-2542.6443489171284,0.93778,0.9547,0.001
51,-1711.696971532329,-2456.057768616495,0.93588,0.9547,0.001
52,-1723.0628112636869,-2558.6486291040346,0.9381,0.9582,0.001
53,-1620.5462106377877,-2543.9727736847312,0.93554,0.9598,0.001
54,-1729.3566610428988,-2653.3682938587817,0.9371,0.9652,0.001
55,262.4815779976223,-2467.9904846964005,0.93828,0.9608,0.001
56,-1734.9611579134032,-2515.4215505092957,0.94008,0.9596,0.001
57,-1760.7833005314897,-2584.1890884592563,0.93866,0.9601,0.001
58,-1762.1031993661086,-2573.2847297765034,0.93736,0.9608,0.001
59,-1758.2296514096467,-2546.0851092761077,0.93708,0.9551,0.001
60,-1751.98501532279,-2622.7127422863923,0.93528,0.964,0.001
61,-1758.6736648442495,-2591.1646805775317,0.93714,0.9634,0.001
62,-1780.3474108605737,-2552.688195337223,0.94026,0.9603,0.001
63,-1765.3067430266944,-2625.720468255538,0.93838,0.9622,0.001
64,-1789.7827145315498,-2712.8260822537577,0.9382,0.9647,0.001
65,-1805.5858185516904,-2698.1969905804986,0.94034,0.9673,0.001
66,-1796.9920570002798,-2553.9085430676423,0.9393,0.962,0.001
67,-1790.5614909686701,-2625.2992267850077,0.93652,0.9613,0.001
68,-1768.2715683568774,-2563.8239158920096,0.93552,0.9531,0.001
69,-1730.5319512018461,-2619.0287869610365,0.935,0.9567,0.001
70,-1790.230317957261,-2606.4029710986947,0.93758,0.96,0.001
71,-1799.527274441536,-2514.9972711876976,0.93698,0.9508,0.001
72,-1795.0426384420955,-2609.935491248022,0.93682,0.9541,0.001
73,-1828.5190301685382,-2688.112650810918,0.93822,0.9651,0.001
74,-1788.009386926051,-2664.7851593403875,0.93586,0.9615,0.001
75,-1805.2542852611493,-2752.7836481408226,0.9377,0.9597,0.001
76,-1780.4500089289281,-2544.8435645767404,0.93504,0.9608,0.001
77,-1781.9908584633752,-2713.4742168957673,0.9353,0.9642,0.001
78,-1786.7796996133711,-2522.5368126977846,0.93416,0.9558,0.001
79,-1822.9446044297474,-2576.7068211036394,0.93642,0.9582,0.001
80,-1778.557066153992,-2674.7804588607596,0.93352,0.9593,0.001
81,-1801.9488949983017,-2594.9048995005933,0.9365,0.9495,0.001
82,-1775.2396824048913,-2649.9561164952534,0.93226,0.9579,0.001
83,-1797.5110153627518,-2661.0744598002375,0.93494,0.9568,0.001
84,-1770.255998304128,-2611.2143122033226,0.93344,0.9604,0.0005
85,-2042.4238100173834,-2829.5693575702135,0.9456,0.9674,0.0005
86,-2126.685574036425,-2874.6990642306173,0.95104,0.9631,0.0005
87,-2173.9421608380953,-2898.6978342563293,0.95352,0.9637,0.0005
88,-2189.1459764251317,-2931.3303840733784,0.95332,0.9644,0.0005
89,-2203.1772585817616,-2948.7228942098495,0.95372,0.9685,0.0005
90,-2219.652781142603,-2921.807580102848,0.95422,0.9659,0.0005
91,-2242.012947258132,-2911.808133282239,0.95422,0.9647,0.0005
92,-2245.0748809268102,-2900.8895588162577,0.95406,0.9625,0.0005
93,-2251.422801610454,-2980.6823112391216,0.95536,0.9703,0.0005
94,-2266.728812215273,-2952.6880562697784,0.9553,0.9632,0.0005
95,-2251.540297252138,-2940.5947574663764,0.95416,0.9664,0.0005
