epoch,train_loss,val_loss,train_acc,val_acc,lr
1,261185.88024340384,2082.778924483287,0.6167,0.8289,0.0001
2,1155.7238095959128,479.72565865818456,0.89108,0.917,0.0001
3,-84.55663672005734,-478.41602760025216,0.9437,0.9437,0.0001
4,-812.15172528123,-1001.5959047727947,0.96484,0.9463,0.0001
5,-1333.6393833794557,-1426.8641712816457,0.97798,0.9512,0.0001
6,-1719.8481554582602,-1715.6390643542327,0.98668,0.9527,0.0001
7,-2023.459811081362,-1775.6319317395173,0.9908,0.9375,0.0001
8,-2243.699067645061,-2134.983172839201,0.99242,0.9524,0.0001
9,-2414.152501098945,-2240.797751124901,0.99422,0.9435,0.0001
10,-2560.8814775315695,-2121.3545679019976,0.99438,0.9312,0.0001
11,-2655.380456636629,-2431.113852971717,0.99454,0.9483,0.0001
12,-2705.664428398737,-2396.5349430132514,0.99314,0.9398,0.0001
13,-2789.281328050072,-2548.869319867484,0.99446,0.9469,0.0001
14,-2861.1158144431347,-2519.0688352946995,0.99496,0.9404,0.0001
15,-2876.6750819213553,-2609.3942345727846,0.99392,0.9381,0.0001
16,-2949.375452066017,-2599.5058810077135,0.99454,0.9374,0.0001
17,-2984.166477681426,-2734.6095511520966,0.9943,0.9455,0.0001
18,-3041.099656205043,-2832.712739196005,0.99516,0.9447,0.0001
19,-3057.8402508591753,-2805.6043531200553,0.99454,0.9445,0.0001
20,-3134.079734080283,-2914.7544439774524,0.99566,0.9453,0.0001
21,-3136.14720056246,-2737.5905421776106,0.99472,0.9407,0.0001
22,-3156.7671048293637,-2831.5442976166933,0.99466,0.9398,0.0001
23,-3241.8414166150496,-2841.3495012114317,0.99664,0.9368,0.0001
24,-3238.0664318504237,-2942.5325912282437,0.9957,0.9427,0.0001
25,-3263.675563334199,-2892.728962186017,0.99526,0.9422,0.0001
26,-3294.1721210138267,-3010.5162307159812,0.99564,0.9353,0.0001
27,-3352.1751162633873,-2998.4789606408226,0.99642,0.9466,0.0001
28,-3346.6813952355737,-2975.6053111402293,0.99616,0.9362,0.0001
29,-3367.8132549002958,-3108.128118201147,0.9958,0.9429,0.0001
30,-3417.6019702335757,-3042.6151231210442,0.99658,0.9431,0.0001
31,-3400.775245139666,-2806.2995450949365,0.99554,0.9325,0.0001
32,-3483.97010619805,-3183.554659686511,0.998,0.9436,0.0001
33,-3474.2017051130915,-3030.4760989418514,0.99672,0.9323,0.0001
34,-3447.370045381434,-3102.0554508257514,0.99546,0.9441,0.0001
35,-3485.6842431265986,-3183.6115846271755,0.99646,0.9474,0.0001
36,-3533.807644036725,-2831.082635420787,0.99702,0.9334,0.0001
37,-3541.978165336277,-3188.039532238924,0.99718,0.9443,0.0001
38,-3544.8424350123883,-3269.0085418314875,0.99676,0.946,0.0001
39,-3583.3861068374363,-3315.187190961234,0.99766,0.9481,0.0001
40,-3574.923164387188,-3178.2651614418514,0.99678,0.9401,0.0001
41,-3611.29078771879,-3205.409170416337,0.99768,0.9414,0.0001
42,-3605.271412568934,-3320.8298865209654,0.99694,0.9479,0.0001
43,-3633.684563444094,-3148.8531633208067,0.99716,0.9388,0.0001
44,-3655.388193584159,-3332.8970530063293,0.99746,0.9449,0.0001
45,-3619.3629403272857,-3343.2634030112736,0.99584,0.9419,0.0001
46,-3697.3441552359736,-3235.7565114467957,0.99786,0.9406,0.0001
47,-3668.1751337466035,-3355.1468088657043,0.9968,0.9448,0.0001
48,-3709.42196179168,-3369.4890476661394,0.99758,0.9416,0.0001
49,-3746.2867853111015,-3393.8487193433543,0.99858,0.9447,0.0001
50,-3709.873086836637,-3403.042950207674,0.99716,0.946,0.0001
51,-3731.937115993646,-3235.5602440170096,0.99716,0.9356,0.0001
52,-3776.1867563389146,-3359.6543957674053,0.99852,0.9426,0.0001
53,-3745.2377286554906,-3464.4175391861154,0.99712,0.948,0.0001
54,-3760.431237886629,-3375.5183970777293,0.99764,0.9363,0.0001
55,-3788.535456586677,-3174.375460467761,0.99816,0.9388,0.0001
56,-3793.6423065107497,-3440.3043660996836,0.99762,0.9429,0.0001
57,-3811.9731626388666,-3480.5208199416534,0.99794,0.9398,0.0001
58,-3823.9881526234813,-3224.7988404865505,0.99812,0.9454,0.0001
59,-3852.6790787094387,-3465.101027862935,0.99862,0.9421,0.0001
60,-3832.066719699089,-3573.7605320411394,0.9977,0.9495,0.0001
61,-3850.8950320192616,-3533.2889666979827,0.99816,0.9458,0.0001
62,-3844.303832695612,-3599.7426139734966,0.99772,0.9486,0.0001
63,-3892.2052279811383,-3516.6160255142404,0.99878,0.9459,0.0001
64,-3865.786381323929,-3412.6202129895173,0.99774,0.9455,0.0001
65,-3889.8888972836075,-3507.5083502274524,0.99804,0.9434,0.0001
66,-3902.880427289802,-3528.3437067345726,0.9982,0.9461,0.0001
67,-3928.6825840942697,-3606.4990357990505,0.99872,0.9477,0.0001
68,-3928.4473574118847,-3580.9211116742486,0.9985,0.9478,0.0001
69,-3906.92983922934,-3395.2064224436313,0.99776,0.9432,0.0001
70,-3926.031240009591,-3469.5025186659414,0.9979,0.9467,0.0001
71,-3943.368266464194,-3406.8442537331885,0.99852,0.941,0.0001
72,-3930.616434472906,-3625.078359869462,0.99768,0.9471,0.0001
73,-3973.3762125859175,-3620.0579911244067,0.99874,0.9495,0.0001
74,-3969.840985154252,-3616.0481667820413,0.99814,0.9448,0.0001
75,-3996.7212201286766,-3343.0034426918514,0.99904,0.9421,0.0001
76,-3997.517192869845,-3721.075964819027,0.99886,0.9495,0.0001
77,-3993.492815646979,-3615.9308958415745,0.99864,0.947,0.0001
78,-4011.5751503556585,-3642.710795342168,0.99884,0.9468,0.0001
79,-4019.1404077086,-3564.6895643789558,0.99872,0.9343,0.0001
80,-4017.177481492767,-3584.175997577136,0.9985,0.9393,0.0001
81,-4008.1874032179107,-3661.972251409217,0.99812,0.946,0.0001
82,-4033.1100637138347,-3714.5694410106803,0.99858,0.9483,0.0001
83,-4031.6247939478103,-3537.20361328125,0.99848,0.9425,0.0001
84,-4037.352585892543,-3699.2081623318827,0.99844,0.9483,0.0001
85,-4044.5813263017503,-3703.6035928846914,0.9986,0.9471,0.0001
86,-4049.8271403202925,-3418.920082575158,0.99852,0.9427,0.0001
87,-4073.7737397098786,-3777.959145075158,0.9988,0.952,0.0001
88,-4090.976618071651,-3744.733407708663,0.99894,0.9473,0.0001
89,-4105.869430346867,-3729.3309341623813,0.99918,0.9457,0.0001
90,-4075.8899113101425,-3749.393499060522,0.99852,0.95,0.0001
91,-4074.664967256434,-3576.0929681319226,0.99838,0.9436,0.0001
92,-4112.177765595029,-3659.358370624011,0.99918,0.9473,0.0001
93,-4099.177402193894,-3757.2711166188687,0.99858,0.9462,0.0001
94,-4091.1914099964033,-3797.4940602749207,0.99844,0.9491,0.0001
95,-4105.395096332521,-3746.7369832871836,0.99856,0.9514,0.0001
96,-4138.292160775655,-3592.2171460888053,0.99904,0.941,0.0001
97,-4121.163287618886,-3797.7800602007514,0.99882,0.9493,0.0001
98,-4116.201108186141,-3776.580952704707,0.99874,0.9477,0.0001
99,-4157.695260674752,-3778.1025267009495,0.99922,0.9451,0.0001
100,-4117.964132557745,-3782.8720301374606,0.99798,0.9459,0.0001
101,-4151.037193669078,-3643.1614171281644,0.99886,0.942,0.0001
102,-4158.874393707041,-3620.3091129351264,0.99892,0.9457,0.0001
103,-4166.36345483336,-3833.461153827136,0.99896,0.9526,0.0001
104,-4190.869384141224,-3825.913960517207,0.99942,0.9483,0.0001
105,-4185.66052527074,-3776.944036169897,0.99928,0.9472,0.0001
106,-4183.497566086557,-3774.5116074960442,0.99902,0.9428,0.0001
107,-4180.1366207191095,-3837.160004821005,0.99892,0.9485,0.0001
108,-4184.509066920756,-3813.4520000988923,0.99888,0.9462,0.0001
109,-4188.347391504156,-3807.5040298655063,0.99902,0.9484,0.0001
110,-4192.713212191296,-3872.0271119709255,0.99862,0.9493,0.0001
111,-4199.827440032569,-3831.5802079212817,0.99896,0.9481,0.0001
112,-4236.886794926871,-3811.5401194125793,0.99962,0.9427,0.0001
113,-4192.829424377597,-3788.4165471716774,0.99848,0.9488,0.0001
114,-4210.528998411525,-3841.314604553995,0.99888,0.9467,0.0001
115,-4219.021704788403,-3660.3002249802216,0.99894,0.9446,0.0001
116,-4229.3465391973705,-3820.068303748022,0.99916,0.9453,0.0001
117,-4232.806476407649,-3849.8354337668115,0.99908,0.9494,0.0001
118,-4239.281567819893,-3839.742901379549,0.99902,0.9452,0.0001
119,-4256.650027223865,-3620.453208440467,0.99936,0.9465,0.0001
120,-4245.2271381973305,-3795.7503553945808,0.99896,0.9447,0.0001
121,-4259.340174057905,-3908.486853490902,0.99934,0.9486,0.0001
122,-4273.077392578125,-3677.3676541485365,0.99926,0.9388,0.0001
123,-4271.2670286524935,-3867.2216178797466,0.99934,0.9457,0.0001
124,-4258.8488369914885,-3901.7578279519385,0.9988,0.9492,0.0001
125,-4273.197978690458,-3864.4129994066457,0.99904,0.9476,0.0001
126,-4261.754005529691,-3897.339995178995,0.99896,0.9463,0.0001
127,-4275.13718580163,-3877.0757608534414,0.99904,0.9507,0.0001
128,-4292.132891798873,-3687.1196876236154,0.9994,0.9394,0.0001
129,-4290.974531324928,-3905.619186980815,0.99922,0.9455,0.0001
130,-4298.021400080922,-3848.594491693038,0.99926,0.9435,0.0001
131,-4322.200518751998,-3918.2200881378562,0.99966,0.9441,0.0001
132,-4317.182436735734,-3821.6134574020966,0.99942,0.9427,0.0001
133,-4271.657602451646,-3901.3544396509096,0.99852,0.9496,0.0001
134,-4305.355240219389,-3856.0208570263053,0.9991,0.9502,0.0001
135,-4310.167704004156,-3967.9741829015034,0.99916,0.9502,0.0001
136,-4304.3135639785805,-3853.6896910848495,0.99886,0.945,0.0001
137,-4326.97906884391,-3859.0691505142404,0.99942,0.9458,0.0001
138,-4344.727095113691,-3941.4588793018197,0.99954,0.9456,0.0001
139,-4324.073658038284,-3872.7433278530457,0.99924,0.9447,0.0001
140,-4341.864177889226,-3753.3607254994067,0.99952,0.9387,0.0001
141,-4315.442222965953,-3926.2563414754745,0.9989,0.9443,0.0001
142,-4337.956111507952,-3962.3250747873813,0.99934,0.947,0.0001
143,-4365.39971752118,-3572.2247237193433,0.99976,0.9409,0.0001
144,-4345.061602111972,-3898.6160255142404,0.99938,0.946,0.0001
145,-4351.171924327646,-3922.6756576344937,0.99924,0.9461,0.0001
146,-4359.961323379555,-3938.2884104282043,0.99946,0.9451,0.0001
147,-4339.1732574228745,-3784.939218255538,0.99886,0.9375,0.0001
148,-4361.799805936301,-3709.2356173358385,0.9994,0.9422,0.0001
149,-4371.799731008232,-3954.0344269185125,0.99952,0.944,0.0001
150,-4351.347719938859,-3924.2258517108385,0.999,0.9442,0.0001
151,-4368.760297614291,-3968.6409927561313,0.99928,0.9485,0.0001
152,-4378.754536894581,-3904.5620240803005,0.99938,0.943,0.0001
153,-4367.8430519201565,-3975.7934724831885,0.99916,0.9473,0.0001
154,-4379.652469878916,-3900.225613750989,0.99934,0.9459,0.0001
155,-4378.290719659127,-3944.9336462865904,0.99918,0.9451,0.0001
156,-4368.435424492487,-3945.444091796875,0.9991,0.9466,0.0001
157,-4379.757645160646,-3958.0917010729827,0.99918,0.9484,0.0001
158,-4410.984298823129,-3838.7034371291534,0.9997,0.942,0.0001
159,-4413.10787768742,-4008.3500636619856,0.99972,0.9495,0.0001
160,-4396.176935142264,-3795.9635983237736,0.9992,0.9387,0.0001
161,-4379.382120664162,-3895.5370290249207,0.99894,0.9425,0.0001
162,-4422.18259595788,-3992.662427684929,0.99976,0.9462,0.0001
163,-4426.540200157849,-4005.23779296875,0.99972,0.9477,0.0001
164,-4422.808014306266,-3942.0029822240904,0.99954,0.9449,0.0001
165,-4407.087244994805,-3937.3320343403875,0.99912,0.945,0.0001
166,-4415.214530300911,-4017.7817537331885,0.99928,0.9511,0.0001
167,-4413.7412084398975,-3850.0700467266615,0.99906,0.9449,0.0001
168,-4433.170517553149,-3722.6951734325553,0.99968,0.9429,0.0001
169,-4438.303777123961,-3956.9463385087024,0.99942,0.947,0.0001
170,-4448.454044117647,-3993.2761848546284,0.99976,0.9465,0.0001
171,-4411.65869140625,-3859.0158258751976,0.9989,0.9439,0.0001
172,-4433.942493955802,-3912.648851611946,0.99924,0.9404,0.0001
173,-4450.563576466592,-3927.804019976266,0.99964,0.9441,0.0001
174,-4452.778557584718,-3945.108614764636,0.9997,0.9445,0.0001
175,-4459.623645050751,-3942.1160625988923,0.99962,0.9433,0.0001
176,-4408.578274856138,-4039.4013702778875,0.99886,0.9476,0.0001
177,-4472.239115449169,-4067.5245129549053,0.99982,0.9483,0.0001
178,-4450.35428613531,-3974.6789241742486,0.99936,0.9459,0.0001
179,-4454.826730089115,-3949.178383356408,0.99934,0.9427,0.0001
180,-4447.521941436221,-3987.948767553402,0.99934,0.9478,0.0001
181,-4473.857837725784,-3996.2191702927216,0.99984,0.9441,0.0001
182,-4480.370513057464,-4033.1779259790346,0.99962,0.9455,0.0001
183,-4460.161021669198,-4065.6950003708466,0.99928,0.9487,0.0001
184,-4474.183905950288,-3921.6415212124207,0.99946,0.9474,0.0001
185,-4490.280399566416,-3997.8493065170096,0.99968,0.9453,0.0001
