temperature,seed,consistency_ratio,ci_margin
0.0,original,1.0,
0.0,89250,1.0,
0.0,773956,1.0,
0.0,654571,0.9991836734693877,
0.0,438878,1.0,
0.0,aggregate,0.9998367346938775,0.0004532971600322991
0.2,original,0.9984430748224259,
0.2,89250,0.9985718485895468,
0.2,773956,0.9999973470702463,
0.2,654571,0.9850881813861886,
0.2,438878,0.9984355205419112,
0.2,aggregate,0.9961071944820639,0.0076919029211629745
0.4,original,0.9780365700016216,
0.4,89250,0.9711455506451276,
0.4,773956,0.9967537074186364,
0.4,654571,0.9575722850342187,
0.4,438878,0.9812455506835664,
0.4,aggregate,0.9769507327566341,0.017788832257887167
0.6,original,0.924434329697064,
0.6,89250,0.8919708587563768,
0.6,773956,0.9572396360368145,
0.6,654571,0.8996847364732198,
0.6,438878,0.920626165818195,
0.6,aggregate,0.9187911453563341,0.03164344766552615
0.8,original,0.8227839165804337,
0.8,89250,0.7675079954582817,
0.8,773956,0.8468335092919214,
0.8,654571,0.7927808542458379,
0.8,438878,0.8135912627468304,
0.8,aggregate,0.8086995076646609,0.03738752219484069
