temperature,seed,consistency_ratio,ci_margin,disc_accuracy,disc_ci_margin
0.0,original,1.0,,1.0,
0.0,89250,1.0,,1.0,
0.0,773956,1.0,,1.0,
0.0,654571,1.0,,1.0,
0.0,438878,1.0,,1.0,
0.0,aggregate,1.0,0.0,1.0,0.0
0.2,original,1.0,,0.9996787800350968,
0.2,89250,1.0,,0.9999473482613661,
0.2,773956,1.0,,0.9998881669068823,
0.2,654571,1.0,,0.9999000028444797,
0.2,438878,1.0,,0.9999510228390597,
0.2,aggregate,1.0,0.0,0.9998730641773769,0.0001392322724279274
0.4,original,1.0,,0.9921265534357149,
0.4,89250,1.0,,0.9961002286477965,
0.4,773956,1.0,,0.9919065573385784,
0.4,654571,1.0,,0.9895588095334111,
0.4,438878,1.0,,0.9941496194625388,
0.4,aggregate,1.0,0.0,0.9927683536836079,0.0030707696292296147
0.6,original,1.0,,0.9657882073460793,
0.6,89250,1.0,,0.9689129014526094,
0.6,773956,1.0,,0.9602667791016248,
0.6,654571,0.9999985715321132,,0.9319251462999655,
0.6,438878,1.0,,0.9605369836091995,
0.6,aggregate,0.9999997143064228,7.932125344225661e-07,0.9574860035618957,0.018310852270055942
0.8,original,1.0,,0.8781722869191851,
0.8,89250,0.9999957145963396,,0.8705104490688869,
0.8,773956,1.0,,0.8619871837873848,
0.8,654571,0.999899801246974,,0.7883818742207118,
0.8,438878,1.0,,0.8545575917010405,
0.8,aggregate,0.9999791031686628,5.509255951549267e-05,0.8507218771394418,0.044652490251860445
