temperature,seed,consistency_ratio,ci_margin
0.0,original,0.9542857142857143,
0.0,89250,0.9359183673469388,
0.0,773956,0.9497959183673469,
0.0,654571,0.919795918367347,
0.0,438878,0.9414285714285714,
0.0,aggregate,0.9402448979591836,0.01673539258404709
0.2,original,0.9073173883365828,
0.2,89250,0.8851361633158212,
0.2,773956,0.9110924902031606,
0.2,654571,0.8517039175095436,
0.2,438878,0.9057422863017311,
0.2,aggregate,0.8921984491333678,0.03078403845807597
0.4,original,0.6002518647008253,
0.4,89250,0.5725973740197262,
0.4,773956,0.619851049957987,
0.4,654571,0.5541620667556263,
0.4,438878,0.6067718653221216,
0.4,aggregate,0.5907268441512573,0.03321334405915172
0.6,original,0.2731167477076607,
0.6,89250,0.25905960408362505,
0.6,773956,0.2787134824457521,
0.6,654571,0.25659327738481214,
0.6,438878,0.2750167476401037,
0.6,aggregate,0.2684999718523907,0.012400933884618775
0.8,original,0.11302429088106265,
0.8,89250,0.1076442906513278,
0.8,773956,0.11330816849971152,
0.8,654571,0.10661816810390778,
0.8,438878,0.1128104132353043,
0.8,aggregate,0.11068106627426282,0.00405473329615274
