temperature,seed,consistency_ratio,ci_margin
0.0,original,0.809795918367347,
0.0,89250,0.753061224489796,
0.0,773956,0.843469387755102,
0.0,654571,0.7818367346938776,
0.0,438878,0.9530612244897959,
0.0,aggregate,0.8282448979591835,0.09609381934835504
0.2,original,0.7661900355645018,
0.2,89250,0.7426024839646962,
0.2,773956,0.7797559544854626,
0.2,654571,0.7473088107987934,
0.2,438878,0.7960424864657071,
0.2,aggregate,0.7663799542558323,0.027680307448595703
0.4,original,0.48834104354360275,
0.4,89250,0.4891128802208268,
0.4,773956,0.5027943092645432,
0.4,654571,0.4665832875364897,
0.4,438878,0.4918694109515268,
0.4,aggregate,0.4877401863033978,0.016349664596443738
0.6,original,0.23053633725498707,
0.6,89250,0.2352993987348615,
0.6,773956,0.23531327646149663,
0.6,654571,0.21698327557468902,
0.6,438878,0.23295225579443635,
0.6,aggregate,0.2302169087640941,0.009507406585838917
0.8,original,0.10287898434630158,
0.8,89250,0.10578612720061625,
0.8,773956,0.10354143327558223,
0.8,654571,0.0959206166498515,
0.8,438878,0.10406694353995274,
0.8,aggregate,0.10243882100246086,0.004717985291534697
