temperature,seed,consistency_ratio,ci_margin,disc_accuracy,disc_ci_margin
0.0,original,1.0,,1.0,
0.0,89250,1.0,,,
0.0,773956,1.0,,,
0.0,654571,1.0,,,
0.0,438878,1.0,,,
0.0,aggregate,1.0,0.0,1.0,0.0
0.2,original,1.0,,0.9890338972028421,
0.2,89250,1.0,,,
0.2,773956,1.0,,,
0.2,654571,1.0,,,
0.2,438878,1.0,,,
0.2,aggregate,1.0,0.0,0.9890338972028421,0.0
0.4,original,1.0,,0.9589161635418327,
0.4,89250,1.0,,,
0.4,773956,1.0,,,
0.4,654571,1.0,,,
0.4,438878,1.0,,,
0.4,aggregate,1.0,0.0,0.9589161635418327,0.0
0.6,original,0.999749400895469,,0.8651831025250104,
0.6,89250,0.9997542993389832,,,
0.6,773956,0.9996016519045344,,,
0.6,654571,0.999745524160716,,,
0.6,438878,0.9997426671884496,,,
0.6,aggregate,0.9997187086976304,8.143100006644731e-05,0.8651831025250104,0.0
0.8,original,0.9914133099877104,,0.6880759509059847,
0.8,89250,0.9915537175353693,,,
0.8,773956,0.9886733105961156,,,
0.8,654571,0.9913692279494538,,,
0.8,438878,0.9916120850918244,,,
0.8,aggregate,0.9909243302320948,0.0015673099885987,0.6880759509059847,0.0
