lambda,intervention_group,concepts_intervened,total_samples,cc_target_Original,cc_target_Seed_438878,cc_target_Seed_654571,cc_target_Seed_773956,cc_target_Seed_89250,cc_non_target_Original,cc_non_target_Seed_438878,cc_non_target_Seed_654571,cc_non_target_Seed_773956,cc_non_target_Seed_89250,style_target_Original,style_target_Seed_438878,style_target_Seed_654571,style_target_Seed_773956,style_target_Seed_89250,style_non_target_Original,style_non_target_Seed_438878,style_non_target_Seed_654571,style_non_target_Seed_773956,style_non_target_Seed_89250,style_overall_Original,style_overall_Seed_438878,style_overall_Seed_654571,style_overall_Seed_773956,style_overall_Seed_89250,disc_left_acc_Original,disc_left_acc_Seed_438878,disc_left_acc_Seed_654571,disc_left_acc_Seed_773956,disc_left_acc_Seed_89250,disc_right_acc_Original,disc_right_acc_Seed_438878,disc_right_acc_Seed_654571,disc_right_acc_Seed_773956,disc_right_acc_Seed_89250,disc_overall_acc_Original,disc_overall_acc_Seed_438878,disc_overall_acc_Seed_654571,disc_overall_acc_Seed_773956,disc_overall_acc_Seed_89250,cc_target_mean,cc_target_ci_95,cc_non_target_mean,cc_non_target_ci_95,style_target_mean,style_target_ci_95,style_non_target_mean,style_non_target_ci_95,style_overall_mean,style_overall_ci_95,disc_left_acc_mean,disc_left_acc_ci_95,disc_right_acc_mean,disc_right_acc_ci_95,disc_overall_acc_mean,disc_overall_acc_ci_95
0.0,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5345777777777778,0.53715,0.5246166666666666,0.5296888888888889,0.5372888888888889,0.5403166666666667,0.5440555555555555,0.5399944444444444,0.5476444444444445,0.5491222222222222,0.4364222222222222,0.44043333333333334,0.43325555555555556,0.4413611111111111,0.4529222222222222,0.9337611111111112,0.9685277777777778,0.9672111111111111,0.9770277777777778,0.9801888888888889,0.9810833333333333,0.9893333333333333,0.9864055555555555,0.9943722222222222,0.9939722222222223,0.9234,0.95885,0.9591722222222222,0.9719611111111112,0.9744277777777778,1.0,0.0,1.0,0.0,0.5326644444444445,0.006766419378201132,0.5442266666666666,0.005152410140543635,0.44087888888888893,0.00928034874566248,0.9653433333333334,0.022962248478574466,0.9890333333333332,0.006887992511597116,0.9575622222222222,0.025318095736017298
0.0,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11372323232323232,0.11419090909090909,0.11191212121212121,0.11283434343434344,0.11421616161616162,0.5403166666666667,0.5440555555555555,0.5399944444444444,0.5476444444444445,0.5491222222222222,0.09587676767676767,0.09660606060606061,0.0953010101010101,0.09677474747474747,0.09887676767676767,0.9879565656565656,0.9942777777777778,0.9940383838383838,0.9958232323232323,0.9963979797979798,0.996560606060606,0.9980606060606061,0.9975282828282829,0.9989767676767677,0.9989040404040403,0.9860727272727273,0.9925181818181819,0.9925767676767677,0.9949020202020202,0.995350505050505,1.0,0.0,1.0,0.0,0.11337535353535352,0.0012302580687638344,0.5442266666666666,0.005152410140543635,0.0966870707070707,0.0016873361355749976,0.9936987878787878,0.004174954268831744,0.9980060606060606,0.0012523622748358276,0.9922840404040404,0.004603290133821304
0.0,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9119,0.9200666666666667,0.9045888888888889,0.9131,0.9292666666666667,0.9172555555555556,0.9314888888888889,0.9284888888888889,0.9426444444444444,0.9506888888888889,0.8467111111111111,0.8574,0.8452888888888889,0.8610888888888889,0.8842222222222222,0.9042555555555556,0.9523111111111111,0.9541888888888889,0.9678777777777777,0.9739111111111111,0.971,0.9857555555555556,0.9769111111111111,0.9901555555555556,0.9903,0.8918333333333334,0.9398666666666666,0.9418,0.959,0.9645888888888889,1.0,0.0,1.0,0.0,0.9157844444444445,0.011577199446360395,0.9341133333333334,0.016072663669927986,0.8589422222222222,0.01945571612855836,0.9505088888888888,0.03403554556333461,0.9828244444444444,0.01062703234722623,0.9394177777777779,0.03559487140173229
0.0,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15725555555555557,0.15423333333333333,0.14464444444444444,0.14627777777777778,0.1453111111111111,0.1633777777777778,0.15662222222222222,0.1515,0.15264444444444444,0.14755555555555555,0.026133333333333335,0.023466666666666667,0.021222222222222222,0.021633333333333334,0.021622222222222223,0.9632666666666667,0.9847444444444444,0.9802333333333333,0.9861777777777778,0.9864666666666667,0.9911666666666666,0.9929111111111111,0.9959,0.9985888888888889,0.9976444444444444,0.9549666666666666,0.9778333333333333,0.9765444444444444,0.9849222222222223,0.9842666666666666,1.0,0.0,1.0,0.0,0.14954444444444448,0.007187967463576664,0.15434,0.007446339861627535,0.022815555555555558,0.0025440480293539383,0.9801777777777778,0.012140295266709114,0.9952422222222224,0.0038992872434606466,0.9757066666666667,0.015125539942504665
0.0,both,2,810000,1.0,1.0,1.0,1.0,1.0,,,,,,0.0202,0.0202,0.0202,0.0202,0.0202,,,,,,0.0202,0.0202,0.0202,0.0202,0.0202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0202,0.0,,0.0,0.0202,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6100888888888889,0.62415,0.5791055555555555,0.5961555555555555,0.5767388888888889,0.6269388888888889,0.6268666666666667,0.5781333333333334,0.6226333333333334,0.5772166666666667,0.4864777777777778,0.4929777777777778,0.46673333333333333,0.4863388888888889,0.47679444444444447,0.9373888888888889,0.9684611111111111,0.9676111111111111,0.9759333333333333,0.9792,0.9810666666666666,0.9897944444444444,0.9862944444444445,0.9948611111111111,0.9945277777777778,0.9269944444444445,0.9592055555555555,0.9598611111111112,0.9712222222222222,0.9740444444444445,1.0,0.0,1.0,0.0,0.5972477777777778,0.025138494195175484,0.6063577777777779,0.03258577957426392,0.4818644444444445,0.01271516526100092,0.9657188888888889,0.020588462982130764,0.9893088888888888,0.007221982555455468,0.9582655555555555,0.023214139063661054
0.2,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14137070707070706,0.15433737373737375,0.12295050505050505,0.13065252525252524,0.12452525252525252,0.6269388888888889,0.6268666666666667,0.5781333333333334,0.6226333333333334,0.5772166666666667,0.1188959595959596,0.1304878787878788,0.10251919191919191,0.11068585858585858,0.10635353535353535,0.9871979797979799,0.9941888888888889,0.9941020202020202,0.9955666666666667,0.9962181818181818,0.9960838383838384,0.9979939393939394,0.9975080808080808,0.9989878787878788,0.9990050505050505,0.9848343434343434,0.9923555555555555,0.9926929292929293,0.9946828282828283,0.9952808080808081,1.0,0.0,1.0,0.0,0.1347672727272727,0.016284984532388625,0.6063577777777779,0.03258577957426392,0.11378848484848483,0.013838535812639326,0.9934547474747475,0.004485563369052016,0.9979157575757576,0.0015034192144051518,0.9919692929292928,0.005190903999683824
0.2,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9336222222222222,0.9404555555555556,0.9282666666666667,0.9403,0.9487777777777778,0.9387777777777778,0.9535777777777777,0.9508888888888889,0.9648333333333333,0.9669222222222222,0.8875444444444445,0.8970777777777778,0.8889666666666667,0.9074555555555556,0.9176444444444445,0.8992222222222223,0.9487222222222222,0.9506222222222223,0.9644666666666667,0.9709888888888889,0.9720555555555556,0.9878222222222223,0.9771444444444445,0.9915777777777778,0.9921333333333333,0.8880222222222223,0.9382777777777778,0.9395,0.9567666666666667,0.9636555555555556,1.0,0.0,1.0,0.0,0.9382844444444445,0.00963747289031175,0.9550000000000001,0.014169642358881537,0.8997377777777779,0.015852293401949803,0.9468044444444444,0.035005030863010836,0.9841466666666665,0.011239357902940585,0.9372444444444445,0.036769015170070404
0.2,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28655555555555556,0.3078444444444444,0.22994444444444445,0.25201111111111113,0.2047,0.3151,0.30015555555555556,0.20537777777777777,0.2804333333333333,0.1875111111111111,0.0854111111111111,0.08887777777777778,0.0445,0.06522222222222222,0.035944444444444446,0.9755555555555555,0.9882,0.9846,0.9874,0.9874111111111111,0.9900777777777777,0.9917666666666667,0.9954444444444445,0.9981444444444444,0.9969222222222223,0.9659666666666666,0.9801333333333333,0.9802222222222222,0.9856777777777778,0.9844333333333334,1.0,0.0,1.0,0.0,0.2562111111111111,0.051748344271606656,0.2577155555555556,0.07153895505941604,0.06399111111111111,0.029423750407285478,0.9846333333333334,0.006526086205766349,0.9944711111111111,0.0042591110787652915,0.9792866666666666,0.009744273930461308
0.2,both,2,810000,1.0,1.0,1.0,1.0,1.0,,,,,,0.03721111111111111,0.049934567901234565,0.021582716049382715,0.027207407407407406,0.024033333333333334,,,,,,0.03721111111111111,0.049934567901234565,0.021582716049382715,0.027207407407407406,0.024033333333333334,0.9982666666666666,0.9999061728395062,0.9999888888888889,0.9999296296296296,1.0,0.999420987654321,0.9998160493827161,1.0,0.999904938271605,1.0,0.9976876543209876,0.9997222222222222,0.9999888888888889,0.9998962962962963,1.0,1.0,0.0,,0.0,0.03199382716049383,0.014476981440189917,,0.0,0.03199382716049383,0.014476981440189917,0.9996182716049382,0.0009394360777521206,0.9998283950617284,0.00029831515954637547,0.999459012345679,0.0012372548959161877
0.4,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8309222222222222,0.8379777777777778,0.7795888888888889,0.8017111111111112,0.7823555555555556,0.8588888888888889,0.8470111111111112,0.7702611111111111,0.8495666666666667,0.7722166666666667,0.7297222222222223,0.7252833333333333,0.6371833333333333,0.7016888888888889,0.6408444444444444,0.9364888888888889,0.9656944444444444,0.9641777777777778,0.9721666666666666,0.9762166666666666,0.9788722222222223,0.9884944444444445,0.9839111111111111,0.9939111111111111,0.9930222222222223,0.9242222222222222,0.9549888888888889,0.9546722222222223,0.9666,0.9696333333333333,1.0,0.0,1.0,0.0,0.8065111111111112,0.03353291946583165,0.8195888888888889,0.05508460277343962,0.6869444444444445,0.05593894579749999,0.9629488888888889,0.019337508613302128,0.9876422222222223,0.007848154859950588,0.9540233333333333,0.02230942509779152
0.4,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5128767676767677,0.5185939393939394,0.3761020202020202,0.4394353535353535,0.3701515151515152,0.8588888888888889,0.8470111111111112,0.7702611111111111,0.8495666666666667,0.7722166666666667,0.4944767676767677,0.4981040404040404,0.350210101010101,0.42124949494949493,0.34442222222222224,0.9738535353535354,0.9903949494949496,0.9919111111111111,0.9942141414141414,0.9952717171717171,0.9941646464646464,0.9963363636363637,0.9961525252525253,0.9985252525252525,0.9983626262626263,0.9696686868686869,0.9868838383838384,0.9892646464646465,0.9928959595959596,0.9937080808080808,1.0,0.0,1.0,0.0,0.4434319191919192,0.08865346544135316,0.8195888888888889,0.05508460277343962,0.4216925252525253,0.09253708389821313,0.9891290909090908,0.010864989732294869,0.9967082828282828,0.0022346077810261548,0.9864842424242424,0.01216493633081496
0.4,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9504777777777778,0.9575111111111111,0.9473222222222222,0.9615888888888889,0.9668333333333333,0.9567333333333333,0.9729222222222222,0.9674555555555555,0.9814222222222222,0.9816777777777778,0.9216666666666666,0.9315666666666667,0.9234888888888889,0.9442,0.9490888888888889,0.8873111111111112,0.9405111111111111,0.9388222222222222,0.9553333333333334,0.9625,0.9722555555555555,0.9889222222222223,0.9769222222222222,0.9927111111111111,0.9926888888888888,0.8770888888888889,0.9309333333333333,0.9287555555555556,0.9488888888888889,0.9558222222222222,1.0,0.0,1.0,0.0,0.9567466666666666,0.009892319555842077,0.9720422222222223,0.01297824490284947,0.9340022222222222,0.015210133390680627,0.9368955555555555,0.03657612447505317,0.9847000000000001,0.011798837125064406,0.9282977777777777,0.03832648365115272
0.4,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7113666666666667,0.7184444444444444,0.6118555555555556,0.6418333333333334,0.5978777777777777,0.7610444444444444,0.7211,0.5730666666666666,0.7177111111111111,0.5627555555555556,0.5377777777777778,0.519,0.3508777777777778,0.4591777777777778,0.3326,0.9856666666666667,0.9908777777777777,0.9895333333333334,0.989,0.9899333333333333,0.9854888888888889,0.9880666666666666,0.9909,0.9951111111111111,0.9933555555555555,0.9713555555555555,0.9790444444444445,0.9805888888888888,0.9843111111111111,0.9834444444444445,1.0,0.0,1.0,0.0,0.6562755555555556,0.06938895667714125,0.6671355555555555,0.11453141927078317,0.43988666666666665,0.11721523074436133,0.9890022222222221,0.0024671875640723917,0.9905844444444444,0.004831861486553409,0.9797488888888889,0.006395500436136528
0.4,both,2,810000,1.0,1.0,1.0,1.0,1.0,,,,,,0.4422,0.44761975308641977,0.2864382716049383,0.35892962962962965,0.27855061728395064,,,,,,0.4422,0.44761975308641977,0.2864382716049383,0.35892962962962965,0.27855061728395064,0.9821567901234568,0.995883950617284,0.9980740740740741,0.9991135802469135,0.9995061728395062,0.997562962962963,0.998079012345679,0.9988728395061729,0.9995506172839507,0.9995493827160494,0.9797679012345679,0.9939716049382716,0.9969518518518519,0.9987395061728395,0.9990580246913581,1.0,0.0,,0.0,0.36274765432098766,0.10095497373092491,,0.0,0.36274765432098766,0.10095497373092491,0.9949469135802469,0.009047811927443273,0.9987229629629629,0.0011019928278297672,0.9936977777777777,0.009988581296508826
0.6,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9398444444444445,0.9414555555555556,0.9103111111111111,0.9318,0.9090777777777778,0.9619333333333333,0.9572222222222222,0.9114666666666666,0.9588111111111111,0.9065666666666666,0.9106055555555556,0.9020777777777778,0.8377166666666667,0.8954888888888889,0.8305388888888889,0.9284,0.9578944444444445,0.9553444444444444,0.96535,0.96925,0.9725611111111111,0.9826833333333334,0.9767722222222223,0.9891055555555556,0.9874833333333334,0.9103833333333333,0.9416666666666667,0.9396833333333333,0.9553277777777778,0.9574555555555555,1.0,0.0,1.0,0.0,0.9264977777777779,0.019587685088164993,0.9391999999999999,0.034344260317713184,0.8752855555555555,0.04722889751167572,0.9552477777777778,0.01988538055456134,0.9817211111111112,0.008715035137967793,0.9409033333333333,0.023358321410188326
0.6,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8537616161616162,0.8504343434343434,0.7416454545454545,0.8245050505050505,0.7149010101010101,0.9619333333333333,0.9572222222222222,0.9114666666666666,0.9588111111111111,0.9065666666666666,0.8484454545454545,0.8432747474747475,0.7284464646464647,0.8179030303030304,0.7006212121212121,0.9473171717171717,0.9770737373737374,0.9768363636363636,0.9842191919191919,0.9870626262626263,0.9846565656565657,0.9887666666666667,0.9868979797979798,0.9943787878787879,0.9927252525252526,0.9352969696969697,0.9663191919191919,0.9669505050505051,0.9789888888888889,0.9803191919191919,1.0,0.0,1.0,0.0,0.797049494949495,0.08008009781752831,0.9391999999999999,0.034344260317713184,0.7877381818181819,0.0850890407572381,0.9745018181818181,0.01966451547943096,0.9894850505050504,0.005004185153412737,0.9655749494949495,0.022526267479017183
0.6,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9618777777777778,0.9688,0.9617666666666667,0.9742111111111111,0.9801333333333333,0.9707,0.9875111111111111,0.9781333333333333,0.9920666666666667,0.9924444444444445,0.9466666666666667,0.9568888888888889,0.9491,0.9669444444444445,0.9727333333333333,0.8651888888888889,0.9221111111111111,0.9183222222222223,0.9384,0.9464333333333333,0.9721777777777778,0.9889666666666667,0.9760222222222222,0.9926888888888888,0.9929111111111111,0.8558222222222223,0.9130333333333334,0.9088777777777778,0.9324,0.9401666666666667,1.0,0.0,1.0,0.0,0.969357777777778,0.009885741796829642,0.9841711111111111,0.011777316172789135,0.9584666666666667,0.013949727834271092,0.9180911111111112,0.039414723418560914,0.9845533333333334,0.012125334612023616,0.91006,0.0409817869680231
0.6,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9178111111111111,0.9141111111111111,0.8588555555555556,0.8893888888888889,0.8380222222222222,0.9531666666666667,0.9269333333333334,0.8448,0.9255555555555556,0.8206888888888889,0.8745444444444445,0.8472666666666666,0.7263333333333334,0.8240333333333333,0.6883444444444444,0.9916111111111111,0.9936777777777778,0.9923666666666666,0.9923,0.9920666666666667,0.9729444444444444,0.9764,0.9775222222222222,0.9855222222222222,0.9820555555555556,0.9649444444444445,0.9703,0.9704888888888888,0.9782555555555555,0.9747444444444444,1.0,0.0,1.0,0.0,0.8836377777777779,0.04312192649536554,0.894228888888889,0.07180197596985896,0.7921044444444444,0.10001111175365573,0.9924044444444444,0.0009572064158219673,0.9788888888888888,0.0061279500500992035,0.9717466666666666,0.0062484630436105025
0.6,both,2,810000,1.0,1.0,1.0,1.0,1.0,,,,,,0.8346320987654321,0.8302074074074074,0.7041641975308642,0.8006617283950618,0.6717506172839506,,,,,,0.8346320987654321,0.8302074074074074,0.7041641975308642,0.8006617283950618,0.6717506172839506,0.951520987654321,0.9813358024691358,0.9816123456790123,0.9884123456790124,0.991020987654321,0.9873444444444445,0.9901185185185185,0.9891481481481481,0.9955506172839507,0.9938901234567902,0.9408333333333333,0.9717975308641975,0.9730098765432099,0.984246913580247,0.9854,1.0,0.0,,0.0,0.7682832098765432,0.09356854585424607,,0.0,0.7682832098765432,0.09356854585424607,0.9787804938271606,0.01963470809080094,0.9912103703703703,0.004229370051709169,0.9710575308641977,0.022363120137638907
0.8,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9678055555555556,0.9679888888888889,0.9628055555555556,0.9714444444444444,0.9680666666666666,0.98335,0.99025,0.9813611111111111,0.9922388888888889,0.9789111111111111,0.9588388888888889,0.9590666666666666,0.9497722222222222,0.9646,0.9484888888888889,0.91185,0.9427555555555556,0.9381777777777778,0.9526777777777777,0.9558055555555556,0.9580611111111111,0.96895,0.9623555555555555,0.9771888888888889,0.9749166666666667,0.8805666666666667,0.9138444444444445,0.9093888888888889,0.9313,0.9322,1.0,0.0,1.0,0.0,0.9676222222222222,0.0038358800731470464,0.985222222222222,0.00715320460632105,0.9561533333333333,0.008478578421358874,0.9402533333333334,0.021627392014937664,0.9682944444444445,0.010075593327786474,0.91346,0.02610557084159709
0.8,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.938989898989899,0.9400848484848485,0.9247898989898989,0.9456040404040404,0.9208212121212122,0.98335,0.99025,0.9813611111111111,0.9922388888888889,0.9789111111111111,0.937359595959596,0.9384626262626262,0.922420202020202,0.944359595959596,0.9172616161616162,0.8911515151515151,0.9384545454545454,0.9303828282828283,0.9499414141414141,0.9558111111111111,0.9519686868686869,0.9626040404040404,0.9542717171717172,0.9750777777777778,0.9710979797979798,0.8565191919191919,0.9049020202020202,0.8972414141414141,0.9275858585858586,0.9296919191919192,1.0,0.0,1.0,0.0,0.9340579797979798,0.01324378617864555,0.985222222222222,0.00715320460632105,0.9319727272727272,0.014322786466516708,0.9331482828282829,0.03162677918158719,0.9630040404040404,0.01256290766978374,0.9031880808080809,0.03680225185357813
