lambda,intervention_group,concepts_intervened,total_samples,cc_target_Original,cc_target_Seed_654571,cc_target_Seed_773956,cc_target_Seed_89250,cc_non_target_Original,cc_non_target_Seed_654571,cc_non_target_Seed_773956,cc_non_target_Seed_89250,style_target_Original,style_target_Seed_654571,style_target_Seed_773956,style_target_Seed_89250,style_non_target_Original,style_non_target_Seed_654571,style_non_target_Seed_773956,style_non_target_Seed_89250,style_overall_Original,style_overall_Seed_654571,style_overall_Seed_773956,style_overall_Seed_89250,disc_left_acc_Original,disc_left_acc_Seed_654571,disc_left_acc_Seed_773956,disc_left_acc_Seed_89250,disc_right_acc_Original,disc_right_acc_Seed_654571,disc_right_acc_Seed_773956,disc_right_acc_Seed_89250,disc_overall_acc_Original,disc_overall_acc_Seed_654571,disc_overall_acc_Seed_773956,disc_overall_acc_Seed_89250,cc_target_mean,cc_target_ci_95,cc_non_target_mean,cc_non_target_ci_95,style_target_mean,style_target_ci_95,style_non_target_mean,style_non_target_ci_95,style_overall_mean,style_overall_ci_95,disc_left_acc_mean,disc_left_acc_ci_95,disc_right_acc_mean,disc_right_acc_ci_95,disc_overall_acc_mean,disc_overall_acc_ci_95
0.0,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42209444444444444,0.4403222222222222,0.4766611111111111,0.4575722222222222,0.5702777777777778,0.5560055555555555,0.5401777777777778,0.5792944444444444,0.33298333333333335,0.35151666666666664,0.3758388888888889,0.3762111111111111,0.9700333333333333,0.9734555555555555,0.9722444444444445,0.9761611111111111,0.9740833333333333,0.9838,0.9787555555555556,0.9826166666666667,0.9447833333333333,0.9575777777777777,0.9514333333333334,0.9590611111111111,1.0,0.0,1.0,0.0,0.4491625,0.037178446661239206,0.5614388888888888,0.02722964826281736,0.3591375,0.033283607772736576,0.9729736111111111,0.004064045833301104,0.979813888888889,0.0069786810785077095,0.9532138888888889,0.01037261807910302
0.0,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09327171717171717,0.09658585858585858,0.1031929292929293,0.09968282828282829,0.5702777777777778,0.5560055555555555,0.5401777777777778,0.5792944444444444,0.07706969696969697,0.08043939393939394,0.08486161616161617,0.08488989898989899,0.9945515151515152,0.9951737373737374,0.9949535353535354,0.9956656565656565,0.9952878787878788,0.9970545454545454,0.9961373737373738,0.9968393939393939,0.9899606060606061,0.9922868686868687,0.9911696969696969,0.9925565656565657,1.0,0.0,1.0,0.0,0.09818333333333334,0.006752265385182624,0.5614388888888888,0.02722964826281736,0.08181515151515151,0.006034566806204097,0.9950861111111111,0.0007389174242365124,0.9963297979797979,0.0012688511051831526,0.9914934343434343,0.0018859305598368993
0.0,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6969,0.7363666666666666,0.8056555555555556,0.7649666666666667,0.9075111111111112,0.9175777777777778,0.9009444444444444,0.9408777777777778,0.6321555555555556,0.6749555555555555,0.7260111111111112,0.7200777777777778,0.9907444444444444,0.9864555555555555,0.9880333333333333,0.9889,0.9686888888888889,0.9721222222222222,0.9675444444444444,0.9722777777777778,0.9598,0.9590333333333333,0.9559777777777778,0.9615333333333334,1.0,0.0,1.0,0.0,0.7509722222222222,0.07305337027547693,0.9167277777777778,0.02783512119701985,0.6883000000000001,0.06973738807366452,0.9885333333333333,0.002845075149136919,0.9701583333333333,0.003825624605058805,0.9590861111111111,0.0036934497498069944
0.0,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14728888888888889,0.14427777777777778,0.14766666666666667,0.15017777777777777,0.23304444444444444,0.19443333333333335,0.1794111111111111,0.2177111111111111,0.03381111111111111,0.028077777777777778,0.025666666666666667,0.032344444444444446,0.9493222222222222,0.9604555555555555,0.9564555555555555,0.9634222222222222,0.9794777777777778,0.9954777777777778,0.9899666666666667,0.9929555555555556,0.9297666666666666,0.9561222222222222,0.9468888888888889,0.9565888888888889,1.0,0.0,1.0,0.0,0.14735277777777778,0.003847433464871698,0.20615,0.037981254373590755,0.029975,0.00598852654442396,0.9574138888888888,0.009711471759442923,0.9894694444444445,0.011188975863914201,0.9473416666666665,0.01995267164746268
0.0,both,2,810000,1.0,1.0,1.0,1.0,,,,,0.0202,0.0202,0.0202,0.02015185185185185,,,,,0.0202,0.0202,0.0202,0.02015185185185185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.020187962962962963,3.8307224045088116e-05,,0.0,0.020187962962962963,3.8307224045088116e-05,1.0,0.0,1.0,0.0,1.0,0.0
0.2,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5084611111111111,0.5161,0.5699333333333333,0.5375666666666666,0.6963111111111111,0.6649777777777778,0.6442777777777777,0.6842777777777778,0.4120333333333333,0.42043888888888886,0.44651111111111114,0.4481277777777778,0.9727944444444444,0.9746777777777778,0.9742555555555555,0.9773666666666667,0.9744388888888889,0.9835833333333334,0.9795055555555555,0.9829722222222222,0.9479888888888889,0.9586555555555556,0.95425,0.9606777777777777,1.0,0.0,1.0,0.0,0.5330152777777778,0.04379663297761541,0.6724611111111112,0.036271007892372954,0.4317777777777778,0.02909237397586998,0.9747736111111112,0.0030356661463081867,0.9801249999999999,0.006674437616347947,0.9553930555555555,0.00894018478346703
0.2,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12980606060606062,0.1313777777777778,0.14052121212121213,0.136689898989899,0.6963111111111111,0.6649777777777778,0.6442777777777777,0.6842777777777778,0.11227373737373737,0.11398484848484848,0.11808080808080808,0.12042828282828283,0.9950292929292929,0.9953808080808081,0.9949404040404041,0.9958717171717172,0.9933272727272727,0.996969696969697,0.9961454545454546,0.9968585858585859,0.9884939393939394,0.9924222222222222,0.9911757575757576,0.9927919191919192,1.0,0.0,1.0,0.0,0.1345987373737374,0.007838180442619604,0.6724611111111112,0.036271007892372954,0.1161919191919192,0.005935211732960608,0.9953055555555556,0.0006725050636180838,0.9958252525252524,0.0027128625457923856,0.9912209595959596,0.003095004481705672
0.2,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7582,0.7952777777777778,0.8535111111111111,0.8306444444444444,0.9334666666666667,0.9415222222222223,0.9286,0.9615888888888889,0.7082222222222222,0.7489555555555556,0.7924222222222223,0.7982,0.9874666666666667,0.9829333333333333,0.9848222222222223,0.9865333333333334,0.9721888888888889,0.9745111111111111,0.9708,0.9754,0.9600777777777778,0.9579333333333333,0.9561,0.9622555555555555,1.0,0.0,1.0,0.0,0.8094083333333333,0.06636242166194305,0.9412944444444444,0.023138292108231914,0.76195,0.066870185208109,0.985438888888889,0.003178170704324069,0.973225,0.003355287870885115,0.9590916666666667,0.004237398034187085
0.2,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25872222222222224,0.23692222222222223,0.28635555555555553,0.2444888888888889,0.45915555555555554,0.38843333333333335,0.35995555555555553,0.40696666666666664,0.11584444444444444,0.09192222222222222,0.1006,0.09805555555555556,0.9581222222222222,0.9664222222222222,0.9636888888888889,0.9682,0.9766888888888889,0.9926555555555555,0.9882111111111112,0.9905444444444444,0.9359,0.9593777777777778,0.9524,0.9591,1.0,0.0,1.0,0.0,0.25662222222222225,0.034665164192905176,0.4036277777777778,0.06645534419706907,0.10160555555555556,0.016178562502586015,0.9641083333333333,0.0070029052886611985,0.987025,0.011338761038606067,0.9516944444444444,0.01752365031203737
0.2,both,2,810000,1.0,1.0,1.0,1.0,,,,,0.045660493827160496,0.04588395061728395,0.045096296296296294,0.047606172839506175,,,,,0.045660493827160496,0.04588395061728395,0.045096296296296294,0.047606172839506175,0.9999703703703704,0.9999814814814815,0.999537037037037,0.999983950617284,0.9975246913580247,0.9999444444444444,0.9998432098765432,0.9999444444444444,0.9974950617283951,0.9999259259259259,0.9993814814814814,0.9999283950617284,1.0,0.0,,0.0,0.04606172839506173,0.0017211616578756144,,0.0,0.04606172839506173,0.0017211616578756144,0.9998682098765432,0.00035143895385612725,0.9993141975308641,0.0018998539752457212,0.9991827160493827,0.0018364863607374137
