lambda,intervention_group,concepts_intervened,total_samples,cc_target_Original,cc_target_Seed_438878,cc_target_Seed_654571,cc_target_Seed_773956,cc_target_Seed_89250,cc_non_target_Original,cc_non_target_Seed_438878,cc_non_target_Seed_654571,cc_non_target_Seed_773956,cc_non_target_Seed_89250,style_target_Original,style_target_Seed_438878,style_target_Seed_654571,style_target_Seed_773956,style_target_Seed_89250,style_non_target_Original,style_non_target_Seed_438878,style_non_target_Seed_654571,style_non_target_Seed_773956,style_non_target_Seed_89250,style_overall_Original,style_overall_Seed_438878,style_overall_Seed_654571,style_overall_Seed_773956,style_overall_Seed_89250,disc_left_acc_Original,disc_left_acc_Seed_438878,disc_left_acc_Seed_654571,disc_left_acc_Seed_773956,disc_left_acc_Seed_89250,disc_right_acc_Original,disc_right_acc_Seed_438878,disc_right_acc_Seed_654571,disc_right_acc_Seed_773956,disc_right_acc_Seed_89250,disc_overall_acc_Original,disc_overall_acc_Seed_438878,disc_overall_acc_Seed_654571,disc_overall_acc_Seed_773956,disc_overall_acc_Seed_89250,cc_target_mean,cc_target_ci_95,cc_non_target_mean,cc_non_target_ci_95,style_target_mean,style_target_ci_95,style_non_target_mean,style_non_target_ci_95,style_overall_mean,style_overall_ci_95,disc_left_acc_mean,disc_left_acc_ci_95,disc_right_acc_mean,disc_right_acc_ci_95,disc_overall_acc_mean,disc_overall_acc_ci_95
0.0,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4447611111111111,0.4779277777777778,0.4985611111111111,0.4973611111111111,0.49472777777777777,0.5617944444444445,0.5450388888888889,0.5506555555555556,0.5537277777777778,0.5712888888888888,0.3537444444444444,0.3835166666666667,0.4173222222222222,0.39661111111111114,0.4092388888888889,0.9708277777777777,0.97375,0.9748333333333333,0.9697388888888889,0.9740277777777778,0.9678777777777777,0.9829222222222223,0.9799777777777777,0.9769222222222222,0.9724944444444444,0.9396611111111111,0.9571611111111111,0.9553555555555555,0.9472277777777778,0.9473277777777778,1.0,0.0,1.0,0.0,0.4826677777777778,0.02826878366250577,0.5565011111111111,0.01272239412078378,0.3920866666666667,0.03101099954559063,0.9726355555555555,0.0027533905856965096,0.9760388888888889,0.007419974151273535,0.9493466666666667,0.008769960730002383
0.0,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0973929292929293,0.10342323232323232,0.10717474747474748,0.10695656565656565,0.10647777777777778,0.5617944444444445,0.5450388888888889,0.5506555555555556,0.5537277777777778,0.5712888888888888,0.08084444444444444,0.08625757575757576,0.0924040404040404,0.08863838383838384,0.09093434343434344,0.9946959595959596,0.9952272727272727,0.9954242424242424,0.9944979797979798,0.9952777777777778,0.9941595959595959,0.9968949494949495,0.996359595959596,0.9958040404040404,0.9949989898989899,0.989029292929293,0.9922111111111112,0.9918828282828283,0.9904050505050505,0.9904232323232324,1.0,0.0,1.0,0.0,0.1042850505050505,0.0051397788477283235,0.5565011111111111,0.01272239412078378,0.08781575757575757,0.005638363553743753,0.9950246464646465,0.0005006164701266431,0.9956434343434344,0.0013490862093224784,0.990790303030303,0.0015945383145458708
0.0,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7446555555555555,0.8061,0.8548777777777777,0.8388111111111111,0.8415222222222222,0.9066444444444445,0.9128333333333334,0.9508,0.9083555555555556,0.9393777777777778,0.6778333333333333,0.7380666666666666,0.8132555555555555,0.7639444444444444,0.7901333333333334,0.9761333333333333,0.9806,0.9817333333333333,0.9772777777777778,0.9807555555555556,0.9745444444444444,0.9775111111111111,0.9745888888888888,0.9741777777777778,0.9760333333333333,0.9513555555555555,0.9586555555555556,0.9567777777777777,0.9519555555555556,0.9572333333333334,1.0,0.0,1.0,0.0,0.8171933333333333,0.05505534441182275,0.9236022222222223,0.025023329049383505,0.7566466666666666,0.06492353003003219,0.9793,0.003031727633687159,0.9753711111111111,0.0017269211910567331,0.9551955555555555,0.004112081363841655
0.0,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14486666666666667,0.14975555555555556,0.14224444444444445,0.1559111111111111,0.14793333333333333,0.21694444444444444,0.17724444444444445,0.15051111111111112,0.1991,0.2032,0.029655555555555557,0.02896666666666667,0.021388888888888888,0.029277777777777778,0.028344444444444443,0.9655222222222222,0.9669,0.9679333333333333,0.9622,0.9673,0.9612111111111111,0.9883333333333333,0.9853666666666666,0.9796666666666667,0.9689555555555556,0.9279666666666667,0.9556666666666667,0.9539333333333333,0.9425,0.9374222222222223,1.0,0.0,1.0,0.0,0.14814222222222223,0.006467244823755489,0.1894,0.032279261903533855,0.027526666666666665,0.00430184319148329,0.9659711111111111,0.002838355128709849,0.9767066666666666,0.014145279966110955,0.9434977777777778,0.014374721432519092
0.0,both,2,810000,1.0,1.0,1.0,1.0,1.0,,,,,,0.0202,0.0202,0.0202,0.0202,0.0202,,,,,,0.0202,0.0202,0.0202,0.0202,0.0202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0202,0.0,,0.0,0.0202,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,AGGREGATE_1_INTERVENTION,1,180000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5723888888888888,0.5909055555555556,0.5636166666666667,0.6307111111111111,0.6070611111111112,0.6757777777777778,0.6539222222222222,0.6025222222222222,0.6815166666666667,0.7056611111111111,0.44626666666666664,0.46097777777777776,0.45821666666666666,0.49357222222222225,0.49745,0.9705111111111111,0.9754777777777778,0.9747166666666667,0.9695611111111111,0.9747833333333333,0.9691722222222222,0.9841277777777778,0.9801277777777778,0.9778555555555556,0.9737944444444444,0.9405888888888889,0.9601833333333334,0.9553833333333334,0.9480888888888889,0.9493444444444444,1.0,0.0,1.0,0.0,0.5929366666666667,0.0335042706909359,0.66388,0.04833807914086256,0.47129666666666664,0.028343302750003813,0.97301,0.0034166427192557744,0.9770155555555556,0.0071562479861589515,0.9507177777777779,0.00926591793965474
0.2,ALL,ALL,990000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13601414141414142,0.15015555555555554,0.1405151515151515,0.20023939393939394,0.15883636363636364,0.6757777777777778,0.6539222222222222,0.6025222222222222,0.6815166666666667,0.7056611111111111,0.11308282828282828,0.12653232323232325,0.12135151515151515,0.1753050505050505,0.1389070707070707,0.9946252525252526,0.9955262626262626,0.9954,0.9943969696969697,0.9954090909090909,0.9916868686868687,0.9969767676767677,0.9958181818181818,0.9954646464646465,0.9923373737373737,0.9864767676767677,0.9926080808080808,0.9913161616161617,0.9899838383838384,0.9878858585858585,1.0,0.0,1.0,0.0,0.15715212121212122,0.031849980223533476,0.66388,0.04833807914086256,0.13503575757575756,0.030275354840942067,0.9950715151515152,0.0006460283802297431,0.9944567676767676,0.0028708925173711376,0.9896541414141413,0.0030929210424236147
0.2,attr0,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7996,0.8505666666666667,0.8903888888888889,0.8762555555555556,0.8842333333333333,0.9340333333333334,0.9370444444444445,0.9674777777777778,0.9354444444444444,0.9583555555555555,0.7482444444444445,0.7983222222222223,0.8616222222222222,0.8212555555555555,0.8468111111111111,0.9701555555555555,0.9772,0.9769666666666666,0.9713111111111111,0.9768111111111111,0.9796666666666667,0.9822,0.9798111111111111,0.9785222222222222,0.9808666666666667,0.9504111111111111,0.9600444444444445,0.9572555555555555,0.9503777777777778,0.9580888888888889,1.0,0.0,1.0,0.0,0.860208888888889,0.04609196456326297,0.946471111111111,0.01911182482467812,0.815251111111111,0.055385896080424414,0.9744888888888887,0.004290406025628714,0.9802133333333334,0.0017220868971257234,0.9552355555555556,0.005629429629805945
0.2,attr1,1,90000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34517777777777775,0.33124444444444445,0.23684444444444444,0.38516666666666666,0.3298888888888889,0.41752222222222224,0.3708,0.23756666666666668,0.4275888888888889,0.4529666666666667,0.14428888888888888,0.12363333333333333,0.05481111111111111,0.1658888888888889,0.14808888888888888,0.9708666666666667,0.9737555555555556,0.9724666666666667,0.9678111111111111,0.9727555555555556,0.9586777777777777,0.9860555555555556,0.9804444444444445,0.9771888888888889,0.9667222222222223,0.9307666666666666,0.9603222222222222,0.9535111111111111,0.9458,0.9406,1.0,0.0,1.0,0.0,0.3256644444444444,0.06760874539553419,0.3812888888888889,0.10637869297598145,0.1273422222222222,0.0536866320283741,0.9715311111111111,0.002885537899285476,0.9738177777777779,0.013666863344951444,0.9461999999999999,0.014192459627849093
0.2,both,2,810000,1.0,1.0,1.0,1.0,1.0,,,,,,0.03904197530864197,0.05221111111111111,0.04649259259259259,0.10457901234567901,0.05923086419753086,,,,,,0.03904197530864197,0.05221111111111111,0.04649259259259259,0.10457901234567901,0.05923086419753086,0.999983950617284,0.9999814814814815,0.9999962962962963,0.999916049382716,0.9999925925925925,0.9966901234567901,0.9998320987654321,0.9993049382716049,0.9993777777777778,0.996458024691358,0.996674074074074,0.9998135802469136,0.9993012345679012,0.9992938271604939,0.9964506172839506,1.0,0.0,,0.0,0.06031111111111111,0.03207816533661162,,0.0,0.06031111111111111,0.03207816533661162,0.9999740740740741,4.097511552646214e-05,0.9983325925925925,0.0020115432575144028,0.9983066666666666,0.0019967946871977523
