SCALE,MODEL,PRIOR,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,VERSION,val_acc_exact,test_acc_exact,test_loss,Test_Acc_L_Digit,Test_Acc_R_Digit,Test_Acc_L_Color,Test_Acc_R_Color,val_acc_ci,val_loss,val_loss_ci,test_acc_ci,test_loss_ci,Val_Acc_L_Digit,Val_Acc_R_Digit,Val_Acc_L_Color,Val_Acc_R_Color
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,2_attr,0.9804780000000001,0.983444,-22849.74591623814,0.9910539999999999,0.992302,,,0.000223134333012602,-22852.235804489712,0.3054558507027499,0.00020292953495094183,0.3001690580086334,0.9921939999999999,0.9882080000000001,,
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,4_attr,0.9760840000000001,0.9796799999999999,-22956.27848002373,0.98937,0.9902979999999998,0.9999340000000001,0.9999680000000001,0.0002616930013095748,-22961.133806863138,0.15936567743051427,0.0002675260869933248,0.1375685715687017,0.9894799999999999,0.9867719999999999,0.9998220000000001,0.99991
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,2_attr,0.97958,0.982778,-22729.52250494462,0.990916,0.991822,,,0.0002370123742522667,-22732.466024525318,0.35877245418701453,0.00023118868653664148,0.28490576593057837,0.99112,0.9884059999999999,,
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,4_attr,0.975206,0.9783700000000001,-22714.577557357596,0.9891120000000001,0.9892479999999999,0.99994,0.99995,0.0003209373299552488,-22720.70693087421,0.1838876473077091,0.0002375854350111434,0.18025232470543687,0.989244,0.986076,0.999854,0.999948
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,2_attr,0.9780719999999999,0.9816400000000001,-22624.0073086432,0.9905279999999999,0.9910080000000001,,,0.00023045672578819731,-22627.4050924644,0.3096103903194417,0.0002344250544292934,0.30077137029309425,0.9909339999999999,0.9870479999999998,,
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,4_attr,0.9744320000000002,0.97772,-22720.50293463212,0.9889619999999999,0.9887619999999999,0.9999379999999999,0.9999279999999999,0.00030433093924098556,-22728.322851068042,0.18674149025555642,0.00025020656920876383,0.1539776254454444,0.989448,0.984862,0.9999979999999999,0.999992
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,2_attr,0.97805,0.9815259999999999,-22618.64304539162,0.9905260000000001,0.9908999999999999,,,0.00023612399931221067,-22621.91495104826,0.3104718267586942,0.00024317809164198814,0.3021049945426664,0.990898,0.9870620000000002,,
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,4_attr,0.9744640000000001,0.9774660000000001,-22716.59943482991,0.988788,0.988666,0.99994,0.9999459999999999,0.0002935412094628468,-22724.423600178,0.1869292670662779,0.0002449206385561777,0.15447852968038658,0.9894279999999999,0.9848979999999998,1.0,0.999992
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,2_attr,0.981748,0.9849300000000001,-22592.219535205695,0.991586,0.9932179999999999,,,0.00025120855137514823,-22578.562019877372,1.3122128219157696,0.00021315730768229217,1.2528909772746881,0.992338,0.989376,,
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,4_attr,0.9796780000000002,0.9835900000000001,-22843.041305379746,0.9915359999999999,0.992166,0.9998100000000001,0.999988,0.00022839114789595876,-22838.026201048262,0.6319439202970644,0.0002555676416626232,0.5541798739036927,0.99155,0.9880699999999999,0.999992,0.999996
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,2_attr,0.98304,0.98586,-22414.058482001583,0.9925400000000001,0.993168,,,0.0002033222906424798,-22403.423596716773,1.1242167457085994,0.00016209342029448477,1.0790563874587096,0.9928260000000002,0.990184,,
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,4_attr,0.97946,0.983344,-22831.722729430385,0.9914019999999999,0.9920300000000002,0.9998239999999999,0.999992,0.0002111957254324873,-22826.876834948576,0.6368625688928566,0.0002464335876014335,0.5744540651365481,0.9914340000000001,0.9879760000000001,0.999992,0.999992
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,2_attr,0.983384,0.985756,-22163.39992286392,0.9923020000000001,0.9933500000000001,,,0.000200658735863893,-22157.01303846915,1.2345144864666666,0.00019807921244353475,1.109014427987281,0.9932559999999998,0.9900939999999998,,
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,4_attr,0.9807499999999999,0.9834099999999999,-22555.411580795095,0.991504,0.99194,0.9998859999999999,0.9999819999999999,0.00024232524710915206,-22555.66701987737,0.6105176241459036,0.00021019826817424478,0.5280556772382266,0.9924980000000001,0.988306,0.9998999999999999,0.999996
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,2_attr,0.9830460000000001,0.9851639999999999,-21891.98106655459,0.9920840000000001,0.9930119999999999,,,0.0002178202787930584,-21889.288501780065,1.36754804825296,0.00019561738208225451,0.9718557063861496,0.99299,0.9900439999999999,,
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,4_attr,0.9801620000000001,0.982446,-22505.66219936709,0.9908579999999999,0.9915740000000001,0.99993,0.9999800000000001,0.00021794737328938697,-22507.032603837022,0.5186866400401291,0.00023937971614324468,0.5175329036287468,0.992164,0.987964,0.9998999999999999,0.999996
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,2_attr,0.9850899999999999,0.98744,-21836.008531447787,0.993222,0.9940859999999999,,,0.00018022268157515166,-21812.389712223103,2.7124353996556025,0.00018029126381201362,1.9593334314717716,0.9945059999999999,0.9905680000000001,,
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,4_attr,0.98235,0.983776,-22331.624623714397,0.9913140000000001,0.992328,1.0,1.0,0.00024273303073307718,-22328.179911491294,1.3035704501713268,0.0002566816492612797,1.3393218727325455,0.9928560000000001,0.989444,0.999996,0.9999979999999999
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,2_attr,0.9869060000000001,0.9859339999999999,-21337.723456289554,0.9923360000000001,0.9935100000000001,,,0.000160191854406427,-21359.761198575947,2.0506697188013727,0.00016467710286957065,2.2032146510281447,0.994794,0.9920359999999999,,
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,4_attr,0.982898,0.9844320000000001,-21538.003460739717,0.992214,0.9921559999999999,0.99994,0.999958,0.0002010797012918201,-21536.95731556567,1.1172762658702062,0.0001789551563884642,0.9105877291740124,0.993222,0.9897000000000001,0.999956,1.0
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,2_attr,0.984452,0.9870660000000001,-21467.290364912977,0.9933160000000001,0.993668,,,0.00019010303391317804,-21439.02495401503,2.6000171442471416,0.00018909194444061077,2.175240767785443,0.9939960000000001,0.990364,,
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,4_attr,0.9810500000000001,0.9840059999999999,-22054.50959058544,0.991864,0.992098,0.999988,0.999988,0.0002046354295227998,-22043.49577581092,1.0769259411637717,0.0001830504033635729,1.056225439288828,0.9924400000000001,0.988694,0.9998939999999998,0.999966
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,2_attr,0.985192,0.9876459999999999,-21442.719314181173,0.9936800000000001,0.9938800000000001,,,0.0001717548146805799,-21419.65516712816,2.3816911670267333,0.00015610619647786462,2.019615940315764,0.9942920000000001,0.9908319999999999,,
3.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,4_attr,0.9827319999999999,0.9845,-21655.2609765625,0.9924140000000001,0.991968,0.999972,0.9999979999999999,0.0001955061237705769,-21650.790420292717,1.1496937932960816,0.00017808353241531298,1.001301846120582,0.993058,0.9898919999999998,0.999838,0.9999039999999999
