temperature,seed,consistency_ratio,ci_margin
0.0,original,1.0,
0.0,89250,1.0,
0.0,773956,1.0,
0.0,654571,1.0,
0.0,438878,1.0,
0.0,aggregate,1.0,0.0
0.2,original,1.0,
0.2,89250,1.0,
0.2,773956,1.0,
0.2,654571,1.0,
0.2,438878,1.0,
0.2,aggregate,1.0,0.0
0.4,original,0.9998000025749206,
0.4,89250,0.9999000072479248,
0.4,773956,1.0,
0.4,654571,1.0,
0.4,438878,1.0,
0.4,aggregate,0.9999400019645691,0.00011105554698386715
0.6,original,0.9993000090122223,
0.6,89250,0.9989000201225281,
0.6,773956,0.9995000183582305,
0.6,654571,0.9992000043392182,
0.6,438878,0.9995000243186951,
0.6,aggregate,0.9992800152301788,0.00030917380648219357
0.8,original,0.9950000464916229,
0.8,89250,0.9928000450134278,
0.8,773956,0.9925000369548798,
0.8,654571,0.9940000414848328,
0.8,438878,0.9939000368118286,
0.8,aggregate,0.9936400413513183,0.0012497111570985418
