temperature,seed,consistency_ratio,ci_margin
0.0,original,0.9,
0.0,89250,1.0,
0.0,773956,1.0,
0.0,654571,1.0,
0.0,438878,1.0,
0.0,aggregate,0.9800000000000001,0.05552890210395596
0.2,original,0.9391000121831894,
0.2,89250,0.9861000120639801,
0.2,773956,0.9612000167369843,
0.2,654571,0.9981000304222107,
0.2,438878,0.9519000232219696,
0.2,aggregate,0.9672800189256667,0.030234510228329747
0.4,original,0.9060000419616699,
0.4,89250,0.9307000398635864,
0.4,773956,0.9074000358581543,
0.4,654571,0.9432000517845154,
0.4,438878,0.887300044298172,
0.4,aggregate,0.9149200427532197,0.027399366857901678
0.6,original,0.7776000410318374,
0.6,89250,0.7937000453472137,
0.6,773956,0.7859000325202942,
0.6,654571,0.790900033712387,
0.6,438878,0.7582000315189361,
0.6,aggregate,0.7812600368261338,0.01771681282211626
0.8,original,0.6448000431060791,
0.8,89250,0.6417000263929367,
0.8,773956,0.6304000288248062,
0.8,654571,0.6320000290870667,
0.8,438878,0.606600034236908,
0.8,aggregate,0.6311000323295592,0.01864150891722327
