epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.329149948447333,0.11174798348942135,0.88966,0.9692,0.0001
2,0.08362891165601552,0.07576519547655142,0.97348,0.9782,0.0001
3,0.058515910347423435,0.0562265482414337,0.98142,0.9842,0.0001
4,0.04526017709871006,0.05676611841514801,0.98546,0.9839,0.0001
5,0.0388954449060928,0.044327713888804604,0.98756,0.9861,0.0001
6,0.03289728195738771,0.054455136781730806,0.98938,0.9849,0.0001
7,0.029897451884282368,0.040777864069471585,0.99036,0.9887,0.0001
8,0.025538138529706194,0.04950163807158868,0.99164,0.9876,0.0001
9,0.024469402231647612,0.0440786325883362,0.992,0.9891,0.0001
10,0.022826286072171676,0.04857837294518584,0.99256,0.9873,0.0001
11,0.020834250251620844,0.04947956434091482,0.99302,0.9876,0.0001
12,0.01876559607518475,0.0519965912305302,0.9937,0.9871,0.0001
13,0.018080273270126894,0.04859225538735654,0.9939,0.9873,0.0001
14,0.01585273958532416,0.045911127666380405,0.995,0.989,0.0001
15,0.017534547408743786,0.04517079464646566,0.99422,0.9885,0.0001
16,0.013933041271583303,0.05104738470051611,0.99524,0.9882,0.0001
17,0.015829416753309917,0.05409015922409881,0.99434,0.987,0.0001
18,0.014085994494915984,0.04678201300085643,0.9955,0.9895,0.0001
19,0.014841642449251161,0.04173163523762325,0.99524,0.9895,0.0001
20,0.011977960328020535,0.0442555725697504,0.99634,0.9891,0.0001
21,0.013270512675851076,0.0407500075629678,0.99558,0.9903,0.0001
22,0.011018883421110263,0.048243568987057686,0.99642,0.9889,0.0001
23,0.00925906079708074,0.04005038098260105,0.99684,0.9908,0.0001
24,0.012917442629268618,0.04968387289398932,0.99574,0.9865,0.0001
25,0.009214243827299263,0.050222093660138425,0.9969,0.9886,0.0001
26,0.010857347908657645,0.039834950250463096,0.99672,0.9897,0.0001
27,0.009118021614022788,0.04764818968820242,0.99692,0.9896,0.0001
28,0.008580301575448803,0.04403472448164054,0.99714,0.9896,0.0001
29,0.009670248156670941,0.04623854017847214,0.99676,0.9896,0.0001
30,0.009160482207183813,0.04787604278315505,0.9968,0.9884,0.0001
31,0.008498548673816768,0.044287137215738674,0.99728,0.9904,0.0001
32,0.008181286558974162,0.05043434158464543,0.99738,0.9889,0.0001
33,0.009053536255860983,0.04869512543804289,0.99724,0.9895,0.0001
34,0.0076047013802977145,0.05094199841035248,0.9976,0.9889,0.0001
35,0.006458493008677948,0.058268850970270125,0.99798,0.9881,0.0001
36,0.006669593128352578,0.04643669524239734,0.9979,0.99,0.0001
37,0.007635603712368606,0.04720567509087122,0.99758,0.99,0.0001
38,0.007992251620758497,0.04659565126516836,0.99748,0.9897,0.0001
39,0.006650105766702534,0.05132136925210566,0.99784,0.9895,0.0001
40,0.008710175886044733,0.05309696684753902,0.99736,0.9891,0.0001
41,0.005918988861608655,0.04901445543306135,0.99816,0.9885,0.0001
42,0.005047272635969737,0.044763292075210355,0.99852,0.9907,0.0001
43,0.006209184375125226,0.04930793747115765,0.99802,0.9898,0.0001
44,0.005547842875182683,0.050723510167319796,0.99822,0.9893,0.0001
45,0.008035259125216077,0.07128970396732694,0.99766,0.9862,0.0001
46,0.006124809101430352,0.05180011886978385,0.99778,0.9906,0.0001
47,0.006676540580390611,0.043089150346163424,0.99806,0.9905,0.0001
48,0.003718866123392236,0.051097675598048356,0.9987,0.9895,0.0001
49,0.0066838980983238636,0.046376580617432404,0.9979,0.9911,0.0001
50,0.006550990087834344,0.05623766561305422,0.99778,0.9887,0.0001
51,0.006262581472297299,0.05285831691753017,0.9981,0.9891,0.0001
52,0.005372052905319933,0.046317132224775966,0.99814,0.9902,0.0001
53,0.004282575947876155,0.05250902037956157,0.9986,0.9893,0.0001
54,0.0046760298596766,0.05312304987982131,0.99836,0.9906,0.0001
55,0.00539523415831531,0.04877638537258854,0.9984,0.9906,0.0001
56,0.0034155328132893814,0.06581688509387246,0.99896,0.9893,0.0001
57,0.005722325111521903,0.055321670874773306,0.9982,0.9906,0.0001
58,0.006954171545298068,0.056847218649772484,0.99774,0.9898,0.0001
59,0.004060736862119893,0.04870765397515338,0.99884,0.99,0.0001
60,0.004072794529364405,0.04540625660383389,0.99872,0.9905,0.0001
61,0.0034718372261193604,0.045342523703265525,0.99886,0.9917,0.0001
62,0.003511650917500535,0.0734157328642359,0.99886,0.9867,0.0001
63,0.006682720859340602,0.06392107766250875,0.99748,0.9883,0.0001
64,0.005113033919286563,0.05374246875994907,0.9985,0.9902,0.0001
65,0.004584897912386658,0.05168698564665633,0.99854,0.9911,0.0001
66,0.0028641664578582557,0.05194467895360135,0.99924,0.9904,0.0001
67,0.0054639173988235,0.05244615591657783,0.99816,0.989,0.0001
68,0.005060652124572286,0.04322270500995705,0.99834,0.9915,0.0001
69,0.0041187385972611444,0.05500712018355403,0.9987,0.9896,0.0001
70,0.0033734791399452546,0.05013543674560216,0.99886,0.9913,0.0001
71,0.0053371147609849335,0.054012961896545135,0.9984,0.9906,0.0001
72,0.003798977229440853,0.04832159775694982,0.99868,0.9911,0.0001
73,0.0022473211972464458,0.06282780196191577,0.99928,0.9892,0.0001
74,0.003939062492153178,0.05419002182258544,0.99888,0.9907,0.0001
75,0.004139434586817371,0.048534790299517155,0.99874,0.9905,0.0001
76,0.004228203224839255,0.06546737157334317,0.99864,0.9895,0.0001
77,0.003334168650395956,0.05856425057518669,0.999,0.9917,0.0001
78,0.003986131829399581,0.053642083183834226,0.9987,0.9908,0.0001
79,0.0036695406902511355,0.06590550708623555,0.99896,0.9902,0.0001
80,0.002867773747485532,0.061519457869485164,0.99926,0.9899,0.0001
81,0.004151114337951337,0.05895379646526534,0.999,0.9885,0.0001
82,0.00546317745886979,0.04741404928270502,0.99828,0.9922,0.0001
83,0.002144316569788979,0.055323704601606245,0.9994,0.9902,0.0001
84,0.0035681037144700495,0.049570384760649684,0.99878,0.9912,0.0001
85,0.0032401508063193214,0.0491622420339567,0.99908,0.9903,0.0001
86,0.0055765951719449775,0.0503015177144081,0.99826,0.9905,0.0001
87,0.0037127843361190863,0.047808795484465455,0.99888,0.9917,0.0001
88,0.003385671421776579,0.06194704071771112,0.99886,0.9903,0.0001
89,0.003159188381317572,0.05405594198482446,0.99912,0.9916,0.0001
90,0.003473513672029176,0.04640752667272622,0.99902,0.992,0.0001
91,0.0039230928796733094,0.046953990217843966,0.99884,0.991,0.0001
92,0.0019352822909049756,0.05276274585182214,0.99946,0.9909,0.0001
93,0.0037975030985344894,0.05390438129960543,0.99868,0.9914,0.0001
94,0.005400058063827591,0.05377468040503889,0.99852,0.9911,0.0001
95,0.0026205265940307146,0.042655353164367554,0.99922,0.9907,0.0001
96,0.003912706421501921,0.04734181145032161,0.99882,0.9907,0.0001
97,0.002747419509363093,0.0598060413414248,0.9992,0.9901,0.0001
98,0.0007409176856654999,0.0630768192872835,0.99972,0.9898,0.0001
99,0.0026376026529365644,0.0642330909641035,0.99926,0.991,0.0001
100,0.0034848004013161914,0.050571254837785344,0.99914,0.9911,0.0001
101,0.0037910862345479877,0.06407114742775971,0.99878,0.9908,0.0001
102,0.002965754471607511,0.06433320892705764,0.9991,0.9889,0.0001
103,0.0035164791077526994,0.05617021962358767,0.99914,0.9902,0.0001
104,0.0033955652337478727,0.04739462852067627,0.99876,0.9915,0.0001
105,0.002244878384521021,0.0574935201725307,0.99944,0.99,0.0001
106,0.0021910840324119198,0.06356124580231119,0.99932,0.9902,0.0001
107,0.002384209546181902,0.060972363786759666,0.9994,0.9896,0.0001
108,0.005154458367834169,0.0504715408979918,0.99852,0.9912,0.0001
109,0.0027009991657821635,0.0572104313127865,0.99914,0.9913,5e-05
110,0.00047861867854530094,0.04917139852180535,0.99982,0.9919,5e-05
111,0.0006141774657383908,0.05263900926258971,0.99978,0.9916,5e-05
112,0.0003385834105402531,0.05762131499813426,0.99992,0.9914,5e-05
113,0.0001264972303217129,0.05189456227134603,0.99998,0.9925,5e-05
114,0.0009109589456345559,0.05453369268427933,0.99966,0.9921,5e-05
115,0.0008596435525688272,0.05610423348841506,0.99976,0.9922,5e-05
116,0.0005366391146759948,0.050130204205448024,0.99986,0.9927,5e-05
117,0.0009838060076212333,0.05213868901870932,0.99982,0.9927,5e-05
118,0.0001632375775832524,0.05362936918744136,0.99992,0.9928,5e-05
119,0.0010757051878464582,0.05301474718104974,0.9997,0.9924,5e-05
120,0.0011008238009641118,0.05267600921444957,0.99958,0.9918,5e-05
121,0.000980959435885009,0.061569085298497965,0.99974,0.9924,5e-05
122,0.00027146382229062426,0.06230030976403975,0.99992,0.9923,5e-05
123,0.000391831835045608,0.06549396624474439,0.99988,0.9923,5e-05
124,0.0011367823304671127,0.05597403643750562,0.99966,0.9926,2.5e-05
125,0.0007256771505384589,0.0524199846933217,0.9998,0.9923,2.5e-05
126,8.516738939974003e-05,0.05210095038298617,0.99998,0.9926,2.5e-05
127,6.937639517120118e-05,0.05316236108865035,1.0,0.9928,2.5e-05
128,9.277029741042824e-05,0.052361793960265315,0.99996,0.9924,2.5e-05
129,0.00012574200421234432,0.05624255485304005,0.99996,0.9927,2.5e-05
130,0.0003513105034977605,0.05959882417277564,0.99986,0.9932,2.5e-05
131,0.00041999227548630244,0.05478391324745322,0.99986,0.9932,2.5e-05
132,0.0003564783857955226,0.056111452491689084,0.9999,0.9929,2.5e-05
133,0.00027946526424607674,0.05316874941266557,0.99992,0.9929,2.5e-05
134,0.00011230624033188504,0.05584932777158604,0.99998,0.9931,2.5e-05
135,0.0002756794069258922,0.06651169286607445,0.99994,0.9917,2.5e-05
136,0.0002314051912401507,0.05709451515275244,0.99994,0.9928,2.5e-05
137,0.0005091912927792224,0.05365915632468614,0.99984,0.9931,2.5e-05
138,9.664809574633312e-05,0.0591657649266171,0.99996,0.9929,1.25e-05
139,0.00016062552919319628,0.054589553852526014,0.99992,0.9925,1.25e-05
140,3.107051763380941e-05,0.055597868772228096,1.0,0.9925,1.25e-05
141,5.063768481941105e-05,0.055340695729393125,0.99998,0.9923,1.25e-05
142,0.00010021921571090779,0.05763580343302131,0.99998,0.9926,1.25e-05
143,2.33964992661478e-05,0.057807609149755024,1.0,0.9928,1.25e-05
144,1.1420058942844049e-05,0.057873383787667154,1.0,0.993,1.25e-05
145,1.8381011867278226e-05,0.059155003096090154,1.0,0.9924,1.25e-05
146,1.9951062579899497e-05,0.06073624834627223,1.0,0.9925,1.25e-05
147,0.00011364006571173808,0.06548627301393926,0.99994,0.9921,1.25e-05
148,0.0001851337974807521,0.06779957469890116,0.99996,0.9926,1.25e-05
149,2.6439882409674893e-05,0.06636216150646036,1.0,0.9923,1.25e-05
150,1.2297341942950073e-05,0.06455346874316167,1.0,0.9928,1.25e-05
151,1.0250951423264495e-05,0.06333792072878262,1.0,0.9921,1.25e-05
152,9.917189654979226e-06,0.06231497079282,1.0,0.9924,1.25e-05
153,4.709243464299032e-06,0.06415174786933364,1.0,0.9925,1.25e-05
154,1.918768189158235e-05,0.0671643660613423,1.0,0.9919,1.25e-05
155,4.884291234302202e-06,0.06514085213113818,1.0,0.9925,6.25e-06
156,1.635377554751048e-05,0.0704302033464356,1.0,0.9917,6.25e-06
157,7.842762042322557e-06,0.06864876206036273,1.0,0.9922,6.25e-06
158,2.254199601676306e-05,0.0706788098059333,1.0,0.9918,6.25e-06
159,7.464137124425277e-06,0.07031284464447927,1.0,0.9924,6.25e-06
160,3.9865915050215876e-06,0.06948701168374516,1.0,0.992,6.25e-06
