epoch,train_loss,val_loss,train_acc,val_acc,lr
1,106010.63271360568,-51.02800115754333,0.8166,0.9013,0.001
2,3.526898637756972,-176.35886465145063,0.91,0.912,0.001
3,-126.83535396473486,-306.74003108543684,0.92746,0.9368,0.001
4,-216.39190546021132,-334.05236101754105,0.9359,0.9437,0.001
5,-252.6209198349272,-367.6169056952754,0.94318,0.9421,0.001
6,-296.50151879586224,-402.1298111541362,0.94872,0.9498,0.001
7,-316.9379517538163,-426.37952510012855,0.95114,0.9493,0.001
8,-326.1173282242797,-398.3086665672592,0.95284,0.9525,0.001
9,-365.37317236000314,-475.70778008955944,0.95536,0.9555,0.001
10,-345.31486796113234,-418.478000302858,0.95408,0.9572,0.001
11,-383.54571849305916,-495.170819053167,0.95842,0.9569,0.001
12,-362.73798971346883,-467.198538671566,0.95794,0.9542,0.001
13,-371.147050745347,-511.24723139895667,0.95766,0.959,0.001
14,-402.67209898419395,-473.3828065123739,0.95914,0.9564,0.001
15,-391.69509596958795,-494.26889791367927,0.95968,0.9585,0.001
16,-413.1027033579014,-550.3004992521262,0.96096,0.9579,0.001
17,-424.6274013665631,-528.7754423889933,0.9621,0.9621,0.001
18,-421.3500609532037,-510.8351142014129,0.96122,0.9569,0.001
19,-417.5043498085588,-513.9279217297518,0.9601,0.9537,0.001
20,-407.9286167310632,-506.1317745160453,0.95954,0.9566,0.001
21,-425.0565953559583,-517.86963141719,0.96026,0.9548,0.001
22,-439.34181986074617,-480.8220774976513,0.96222,0.9555,0.001
23,-426.31811515632495,-535.412398326246,0.961,0.9574,0.001
24,-435.15286453910494,-539.0799340356755,0.96326,0.9613,0.001
25,-421.8309035825607,-502.87398789804195,0.96304,0.9618,0.001
26,-440.8258679480199,-470.3243609078323,0.96358,0.9537,0.001
27,-429.46228031246255,-531.3089441227007,0.963,0.961,0.001
28,-443.7586959097392,-542.3246011854727,0.9628,0.9645,0.001
29,-392.8949938918014,-524.1763458251953,0.96296,0.9553,0.001
30,-449.69965586942783,-506.6182542631898,0.964,0.9606,0.001
31,-450.1620343883934,-549.5816323968429,0.964,0.9605,0.001
32,-453.51695470005046,-512.0851117870476,0.9636,0.9613,0.001
33,-414.9334677771839,-491.75154191029225,0.96352,0.9561,0.001
34,-426.38707797545607,-561.1452381761768,0.96266,0.9626,0.001
35,-460.35313087717043,-546.914179934731,0.9642,0.9631,0.001
36,-460.67096292637194,-553.4633901089053,0.96628,0.9649,0.001
37,-476.1324228740409,-565.9711404148536,0.96396,0.9621,0.001
38,-477.20728889328745,-559.6001335820065,0.96646,0.9605,0.001
39,-474.88765160445973,-587.4652215498912,0.96498,0.964,0.001
40,-470.8726125263497,-577.0100893431072,0.96572,0.9646,0.001
41,-460.31621986642824,-547.3278458993647,0.9658,0.962,0.001
42,-471.37867834378994,-561.2181162773809,0.96704,0.9633,0.001
43,-493.94804070123934,-560.2324017874802,0.96752,0.9643,0.001
44,-477.14575004089824,-558.7712549137163,0.9664,0.9631,0.001
45,-478.9683035145635,-608.5735711206364,0.96692,0.967,0.001
46,-494.7642963536255,-565.5638118695609,0.96796,0.9628,0.001
47,-483.52801068786465,-550.7340192191208,0.96674,0.9634,0.001
48,-494.2519850474794,-599.9824382926844,0.96638,0.9637,0.001
49,-485.60981079257664,-587.7871792950208,0.96676,0.9634,0.001
50,-492.3011437535591,-607.2383554193038,0.9687,0.9644,0.001
51,-494.4143867980489,-568.5280616856828,0.96748,0.9661,0.001
52,-485.72883317171767,-593.1422534411466,0.96756,0.9614,0.001
53,-480.7562883381953,-572.5908662820165,0.96818,0.9628,0.001
54,-495.11729852622733,-545.4640363862243,0.96748,0.9655,0.001
55,-499.6308123108066,-573.8842937614344,0.9682,0.9658,0.001
56,-507.3477511588875,-589.0887173036986,0.96846,0.9643,0.001
57,-459.2636773775301,-594.4503057938588,0.9668,0.9619,0.001
58,-494.9033706547964,-602.1023706363726,0.96718,0.9646,0.001
59,-502.76388904932514,-615.9875548157511,0.96918,0.9663,0.001
60,-500.5911481228021,-593.3874863250346,0.96834,0.9656,0.001
61,-497.8585055221987,-596.93965593169,0.96692,0.966,0.001
62,-498.18008898957004,-610.2315040298655,0.968,0.9669,0.001
63,-502.93176265628745,-606.3896088419082,0.96886,0.9625,0.001
64,-502.8826094137128,-591.0252469219739,0.96918,0.9627,0.001
65,-494.27652219494286,-618.3926198452334,0.96802,0.9681,0.001
66,-505.2872562652354,-601.0211720526972,0.96922,0.9693,0.001
67,-504.28925992765693,-534.4123936906645,0.96826,0.9648,0.0005
68,-593.9105867741968,-694.4171640903135,0.9756,0.971,0.0005
69,-630.9337600747033,-721.6316640346865,0.97852,0.9738,0.0005
70,-644.3560321154192,-719.2295632664161,0.98074,0.972,0.0005
71,-653.8918619375399,-729.100627271435,0.981,0.9741,0.0005
72,-661.4920310876558,-716.4517663883257,0.9822,0.9736,0.0005
73,-673.2593937944573,-723.180778020545,0.98198,0.9742,0.0005
74,-676.4139487810452,-731.3221018344541,0.98396,0.9747,0.0005
75,-676.5103180634092,-734.6987961394877,0.98346,0.9726,0.0005
76,-677.9795058462626,-732.9395104903209,0.98348,0.973,0.0005
77,-669.93423391669,-730.9486499255216,0.9844,0.975,0.0005
78,-684.4179998529537,-749.5327832185769,0.98444,0.975,0.0005
79,-691.7297197815097,-742.0144699676127,0.9854,0.9729,0.0005
80,-695.4702439564269,-759.8339967365506,0.98542,0.9747,0.0005
81,-699.096465986403,-757.5359195757516,0.98596,0.9755,0.0005
82,-703.4450624275695,-754.9913403474832,0.98624,0.9766,0.0005
83,-701.9700478165961,-749.5623958925657,0.98588,0.9764,0.0005
84,-704.2303120254555,-756.9446440105197,0.987,0.9766,0.0005
85,-709.532681126119,-761.3518993522547,0.98664,0.9774,0.0005
86,-713.0132655463256,-758.4513037959232,0.9869,0.9764,0.0005
87,-711.7712031605909,-756.5537673370748,0.98696,0.9746,0.0005
88,-713.0359286335118,-755.5593572689008,0.9867,0.9752,0.0005
89,-709.3476567183004,-772.8822844300089,0.98694,0.975,0.0005
90,-710.5207212013967,-754.7903944570807,0.987,0.9749,0.0005
91,-714.1784073227202,-771.543963854826,0.98758,0.975,0.0005
92,-718.2937016401754,-775.0632579175732,0.98688,0.9759,0.0005
