epoch,train_loss,val_loss,train_acc,val_acc,lr
1,125431.08000023103,448.650290959998,0.67312,0.9016,0.0001
2,326.3638118246327,-130.88352758673173,0.89782,0.956,0.0001
3,-75.75838283260765,-434.59862238244165,0.93804,0.9667,0.0001
4,-312.3211702410217,-567.9197217723992,0.9506,0.9663,0.0001
5,-474.12386503487903,-761.2165179675138,0.95586,0.9746,0.0001
6,-630.238717393802,-931.2751642541041,0.96342,0.9786,0.0001
7,-738.9364667731478,-1000.559452877769,0.96532,0.9774,0.0001
8,-831.5359250432085,-1104.8382630167127,0.96668,0.9806,0.0001
9,-903.6947433588755,-1090.2530517578125,0.97034,0.9684,0.0001
10,-959.7922695774556,-1159.6642193371736,0.97194,0.9769,0.0001
11,-1009.7863252839774,-1290.7442534241495,0.974,0.9829,0.0001
12,-1049.603897602052,-1269.39472903481,0.97462,0.9723,0.0001
13,-1076.178082634421,-1303.89047975178,0.97482,0.9811,0.0001
14,-1107.4839316755915,-1320.0225366519976,0.97698,0.9809,0.0001
15,-1135.4804506423834,-1413.1714284389834,0.97826,0.9818,0.0001
16,-1162.3522399746244,-1423.33237428303,0.97818,0.9835,0.0001
17,-1185.7258945474844,-1400.4612959849683,0.9792,0.9827,0.0001
18,-1200.5376621256094,-1452.8691066307358,0.979,0.9835,0.0001
19,-1227.1729116610554,-1466.0266731358781,0.98066,0.9809,0.0001
20,-1242.285607691616,-1484.1991090412382,0.98006,0.9826,0.0001
21,-1257.7871760297614,-1482.327547097508,0.98122,0.9838,0.0001
22,-1276.3916252897218,-1507.0934934978243,0.98224,0.984,0.0001
23,-1284.052943861393,-1504.014385754549,0.98146,0.9824,0.0001
24,-1311.9250388377159,-1548.863262707674,0.9829,0.9849,0.0001
25,-1326.5850973690258,-1537.4609575875197,0.98414,0.9853,0.0001
26,-1333.5988563479061,-1523.6437972829312,0.98282,0.9808,0.0001
27,-1343.1383459378997,-1583.9952747972707,0.98362,0.9861,0.0001
28,-1361.0726992711996,-1583.490642306171,0.9845,0.9856,0.0001
29,-1369.9730699153813,-1504.258272967761,0.98446,0.9828,0.0001
30,-1382.1571975278732,-1619.6674372033228,0.98396,0.9853,0.0001
31,-1388.7108925431585,-1640.8920172196401,0.98506,0.9863,0.0001
32,-1401.0185793513228,-1619.6612626087817,0.98482,0.9881,0.0001
33,-1410.1662073159766,-1616.8909093156647,0.98624,0.986,0.0001
34,-1420.406107948869,-1659.6116665224486,0.98602,0.9874,0.0001
35,-1432.7463716082561,-1615.5296429984178,0.9864,0.9875,0.0001
36,-1434.5129631803468,-1652.9789714571796,0.98556,0.9865,0.0001
37,-1449.0584101762308,-1693.4498569150514,0.98592,0.9874,0.0001
38,-1455.2462660845588,-1689.372938711432,0.9865,0.9881,0.0001
39,-1463.8870621703165,-1688.1833805132517,0.98748,0.9876,0.0001
40,-1475.3273750949088,-1690.4339630513252,0.9878,0.9878,0.0001
41,-1479.5188668877877,-1687.9945361946202,0.98714,0.9865,0.0001
42,-1484.3274400325688,-1711.5135343527493,0.98732,0.9883,0.0001
43,-1496.9514088350184,-1696.4679866742483,0.98784,0.987,0.0001
44,-1505.5210507288004,-1735.6980490382714,0.98806,0.9885,0.0001
45,-1507.265428626019,-1734.3123300286788,0.9874,0.9858,0.0001
46,-1514.1907156629636,-1720.6004731383505,0.98782,0.9861,0.0001
47,-1520.5400103400734,-1759.8658709948577,0.98816,0.9896,0.0001
48,-1530.1062504995205,-1767.8497221741495,0.98796,0.9866,0.0001
49,-1536.6750307205084,-1766.2955245005933,0.98816,0.9881,0.0001
50,-1540.5988757043237,-1766.4623946177808,0.98792,0.9886,0.0001
51,-1548.326635180227,-1757.5623145767406,0.98908,0.987,0.0001
52,-1555.4301617322371,-1781.2261669303798,0.98888,0.9883,0.0001
53,-1558.1140448919039,-1798.493553451345,0.98872,0.9896,0.0001
54,-1564.7721197025855,-1770.461496860166,0.98858,0.9875,0.0001
55,-1572.2987073034888,-1776.4450760853442,0.98858,0.9888,0.0001
56,-1580.8045076726344,-1812.3225839349288,0.98962,0.9897,0.0001
57,-1586.1306439568016,-1790.1120528209058,0.98942,0.9887,0.0001
58,-1586.9387428693453,-1791.646756329114,0.9886,0.9875,0.0001
59,-1592.9745669157608,-1817.8609742756132,0.98954,0.989,0.0001
60,-1600.7413326956123,-1797.3463783747034,0.9899,0.9887,0.0001
61,-1604.229799080383,-1817.983290273932,0.9898,0.9886,0.0001
62,-1608.1944202315776,-1826.3339689230618,0.98912,0.9886,0.0001
63,-1616.4149884860533,-1804.9121572760087,0.99032,0.9884,0.0001
64,-1616.790270090713,-1838.5284362020373,0.98956,0.9898,0.0001
65,-1626.027825475044,-1829.073115481606,0.98982,0.9903,0.0001
66,-1628.430416487672,-1856.306081264834,0.98972,0.988,0.0001
67,-1630.2128444193575,-1760.68212890625,0.98956,0.9873,0.0001
68,-1635.6630275560462,-1837.8348017825356,0.99012,0.9882,0.0001
69,-1641.8908204373802,-1859.4993865580498,0.99046,0.9899,0.0001
70,-1645.502498851103,-1874.5134972680974,0.98988,0.9897,0.0001
71,-1651.5560193464273,-1831.362341772152,0.99004,0.9882,0.0001
72,-1652.068058726123,-1880.2260711283623,0.9897,0.989,0.0001
73,-1659.4615999890104,-1877.3492817939082,0.99096,0.9874,0.0001
74,-1665.6058945911925,-1872.4507963928995,0.99052,0.9878,0.0001
75,-1669.8754461342112,-1860.4203746167918,0.99096,0.9875,0.0001
76,-1674.7032114794797,-1898.1304962544502,0.9907,0.9889,0.0001
77,-1677.3533607736572,-1890.6800815244264,0.99124,0.9884,0.0001
78,-1679.0468431555707,-1891.5220236476464,0.99026,0.9884,0.0001
79,-1685.208556972806,-1884.8837195287776,0.99072,0.9896,0.0001
80,-1685.4666682484815,-1889.8823813909216,0.9904,0.9893,0.0001
81,-1691.576884628257,-1886.7741930997825,0.99066,0.989,0.0001
82,-1693.7529527903214,-1911.2733138844937,0.99074,0.989,0.0001
83,-1695.7941953849304,-1895.726003139834,0.99044,0.9885,0.0001
84,-1702.4127175411604,-1905.33418215981,0.9909,0.9881,0.0001
85,-1703.9170742961758,-1919.5200705226464,0.99074,0.9892,0.0001
86,-1709.3664987861653,-1916.2828631823577,0.99098,0.9906,0.0001
87,-1712.5617129430746,-1934.1638322661195,0.99092,0.9893,0.0001
88,-1714.70440533338,-1937.6792424841772,0.9913,0.9908,0.0001
89,-1719.8688967965752,-1933.6383659266219,0.99146,0.9888,0.0001
90,-1719.41562506244,-1933.6731466945214,0.99042,0.9893,0.0001
91,-1726.2287638242287,-1943.6218323526502,0.99126,0.9896,0.0001
92,-1730.534259922974,-1939.3965879029865,0.99114,0.9895,0.0001
93,-1734.191148996963,-1969.1920011496243,0.99148,0.9898,0.0001
94,-1735.562639865729,-1934.7477162035207,0.99124,0.9904,0.0001
95,-1738.8225013362173,-1964.5366968082476,0.99158,0.9904,0.0001
96,-1742.9111518567177,-1969.2984541880933,0.99112,0.9895,0.0001
97,-1746.1004139151414,-1978.5460452309137,0.99134,0.9906,0.0001
98,-1750.1057100808225,-1953.1839414186115,0.992,0.991,0.0001
99,-1751.986017797914,-1960.5110975820808,0.99162,0.9889,0.0001
100,-1753.8231335418,-1979.7134190812897,0.99164,0.9914,0.0001
101,-1758.4158139436142,-1973.5245268616495,0.99202,0.9895,0.0001
102,-1760.2295808523818,-1966.0184990605221,0.9918,0.989,0.0001
103,-1760.1472886029412,-1935.2605722161788,0.9912,0.9895,0.0001
104,-1763.3008455632594,-1968.1093858163567,0.99174,0.9897,0.0001
105,-1769.4567402793318,-1967.0230326592168,0.9921,0.9886,0.0001
106,-1772.546741378277,-1981.6477375271954,0.99176,0.9908,0.0001
107,-1773.155841954224,-1980.0083888572983,0.99174,0.9895,0.0001
108,-1777.1266512273219,-1996.090576171875,0.99222,0.9904,0.0001
109,-1775.2890197285606,-1957.781367434731,0.992,0.9893,0.0001
110,-1780.8001918158568,-1990.208251953125,0.99224,0.9899,0.0001
111,-1781.7965652973146,-1992.8637216302413,0.99204,0.9891,0.0001
112,-1784.024113413623,-2003.3678612045094,0.99144,0.9903,0.0001
113,-1786.5370922039842,-2011.6411905409414,0.99232,0.9902,0.0001
114,-1791.3699189403173,-2023.8136758925039,0.99224,0.9898,0.0001
115,-1793.445647803109,-2019.2749904197983,0.9927,0.9908,0.0001
116,-1793.6461443888866,-1991.7908641960048,0.99214,0.989,0.0001
117,-1793.7531335542878,-1997.709083267405,0.99174,0.9903,0.0001
118,-1795.207713719829,-2015.9802663296084,0.99204,0.9896,0.0001
119,-1801.2185195961877,-1987.4609158672863,0.99236,0.9901,0.0001
120,-1802.2223234444932,-2016.925203347508,0.9922,0.9885,0.0001
121,-1799.2177092803408,-2023.2609384271163,0.99222,0.9889,0.0001
122,-1801.464441323829,-2024.3051433321796,0.9919,0.9892,0.0001
123,-1807.609597598805,-2015.4172656868077,0.9921,0.9897,0.0001
124,-1807.3419361163283,-2023.8198381254945,0.99256,0.9901,0.0001
125,-1810.1110371543318,-2021.688937030261,0.99248,0.9898,0.0001
126,-1815.1705353485654,-2038.9381366198577,0.99268,0.991,0.0001
127,-1814.0459280965274,-2024.1801031571401,0.99264,0.9893,0.0001
128,-1817.4024995379436,-2037.2231414408623,0.99268,0.9903,0.0001
129,-1821.987895058244,-2024.7035190244264,0.9932,0.9908,0.0001
130,-1819.890042434263,-2030.9408144407635,0.9922,0.989,0.0001
131,-1824.1744047589314,-2013.5231392775909,0.99242,0.9898,0.0001
132,-1829.561038590453,-1984.8102146583267,0.99388,0.9893,0.0001
133,-1825.5278579438739,-2049.3023867063885,0.9926,0.9897,0.0001
134,-1828.4498403407729,-2028.227322735364,0.99272,0.9893,0.0001
135,-1829.4389673413523,-2055.35686096964,0.99262,0.9899,0.0001
136,-1830.9161342611094,-2051.16344905805,0.99306,0.9907,0.0001
137,-1831.9425682594708,-2013.3543144902096,0.9931,0.9876,0.0001
138,-1831.909674524956,-2020.999845480617,0.9923,0.9873,0.0001
139,-1836.6237983410927,-2040.28759765625,0.9928,0.9896,0.0001
140,-1839.2106711931547,-2026.3274188464202,0.99358,0.9893,0.0001
141,-1840.7387692190498,-2056.081805651701,0.99326,0.9902,0.0001
142,-1842.626184800092,-2054.818938822686,0.9933,0.9893,0.0001
143,-1843.7881031085158,-2051.537994771064,0.9932,0.9901,0.0001
144,-1846.9081740903732,-2033.0336744091178,0.99308,0.9909,0.0001
145,-1849.7461249700289,-2048.3816721469543,0.99372,0.989,0.0001
146,-1313.9471753991168,-2064.846770853936,0.99254,0.9915,0.0001
147,-1849.5101686755715,-2059.6365920441062,0.99346,0.9904,0.0001
148,-1851.3055841392263,-2060.733716747429,0.99342,0.9903,0.0001
149,-1853.1835565981658,-2048.0027612613726,0.99312,0.99,0.0001
150,-1852.9789976622442,-1997.7840885210642,0.99292,0.9877,0.0001
