epoch,train_loss,val_loss,train_acc,val_acc,lr
1,83650.07858034412,995.1794889425929,0.85618,0.9595,0.001
2,759.8843213639906,974.8658617236946,0.95992,0.9598,0.001
3,477.57157373550297,231.88029832477812,0.96542,0.9716,0.001
4,266.86889862831293,107.5133009319064,0.96964,0.9788,0.001
5,144.81216580422637,100.75711977029148,0.97174,0.9755,0.001
6,43.03935255845794,41.32538324669947,0.97374,0.9772,0.001
7,-55.86457542263334,-73.00601703305787,0.97452,0.9767,0.001
8,-146.69968221620525,-85.2238810092588,0.97672,0.9739,0.001
9,-143.58174514770508,124.0112412851068,0.97552,0.9676,0.001
10,-220.73993950182825,-281.30313810517515,0.97684,0.9807,0.001
11,-316.86106298890564,-337.3578974084009,0.97814,0.9784,0.001
12,-303.92480599971685,-375.2722552335715,0.97784,0.9804,0.001
13,-385.80481686799425,-406.73431072959414,0.97872,0.9788,0.001
14,-435.77040392785426,-501.07517667359946,0.97972,0.9795,0.001
15,-451.17733736355285,-488.9283292746242,0.9793,0.9773,0.001
16,-461.0457659035997,-488.6195288549496,0.97956,0.9821,0.001
17,-527.1545961775133,-472.07740493967566,0.98146,0.9772,0.001
18,-491.649083959477,-406.93608411957945,0.97978,0.9748,0.001
19,-534.7151186521096,-650.6839972387386,0.98076,0.9835,0.001
20,-556.1346450669076,-433.8185196888598,0.9807,0.9787,0.001
21,-608.363815980799,-524.4678947352156,0.98204,0.9838,0.001
22,-614.456134210767,-538.6473780764809,0.98208,0.9791,0.001
23,-644.8735460832601,-459.48083418834057,0.98138,0.9804,0.001
24,-657.2138761437458,-632.8963968783994,0.98242,0.9773,0.001
25,-693.1203997092479,-511.3304283045515,0.98334,0.9771,0.001
26,-672.1641008616103,-731.4083174693434,0.98238,0.9825,0.001
27,-710.1414896386968,-588.4451653202877,0.98232,0.978,0.001
28,-676.955813259115,-538.8825691319719,0.98194,0.9773,0.001
29,-722.0833047344861,-445.48378589485264,0.9832,0.9737,0.001
30,-737.8520774938871,-689.9576643931715,0.9836,0.9824,0.001
31,-770.3883493721028,-501.94935656197464,0.98382,0.9688,0.001
32,-735.6433699234673,-244.56278286704534,0.98248,0.9728,0.001
33,-771.8608304289601,-649.669605110265,0.98336,0.9758,0.001
34,-759.2767695161083,-611.4380052783821,0.9834,0.978,0.001
35,-750.8082095680335,-763.4080532411986,0.98386,0.982,0.001
36,-781.7139622720001,-746.3329736250865,0.98368,0.9811,0.001
