SCALE,MODEL,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
1.0,hybrid,Adam,0.0,0.0,best_loss,0.9709599999999999,7.595480444760986e-05,-821.8473993615258,0.06099264057686985,0.969726,8.216971949004523e-05,-832.5045265139811,0.0644706376278757
1.0,hybrid,Adam,0.0,0.0,best_acc,0.9756840000000002,8.307743521172547e-05,9791.301928031053,36.2860510181997,0.9755780000000001,7.666545510375552e-05,-954.5962912450861,0.07175915963313524
1.0,hybrid,Adam,0.0,0.2,best_loss,0.9803000000000002,6.157226725669544e-05,-934.1511259750175,0.1577877142845625,0.9812419999999998,8.302384774480966e-05,-924.2195261547234,0.1292876987444652
1.0,hybrid,Adam,0.0,0.2,best_acc,0.9822460000000001,7.556535142955982e-05,-923.4603200173681,0.6061052305059316,0.981918,9.305891739853012e-05,-917.6090269605418,0.10583288302751417
1.0,hybrid,Adam,0.5,0.0,best_loss,0.9871420000000001,9.929723878170801e-05,-1302.7017173284216,0.08519030673374052,0.9899159999999999,8.84585858599701e-05,-1301.982195287777,0.1005020949125476
1.0,hybrid,Adam,0.5,0.0,best_acc,0.98839,8.69342472070969e-05,-1255.6288808161096,0.0760828947447013,0.989678,7.982536603205992e-05,-1235.085125539273,1.5561807137644939
1.0,hybrid,Adam,0.5,0.2,best_loss,0.990592,6.933851773748932e-05,-1048.1811058797714,0.017728158701738838,0.9924679999999999,6.301175837940562e-05,-1039.5949753850623,0.0209258081162385
1.0,hybrid,Adam,0.5,0.2,best_acc,0.9906379999999999,6.790934798094426e-05,-1046.190878365432,0.028790140633985238,0.99244,5.199279346390043e-05,-1037.44799936029,0.02572255682617773
1.0,hybrid,Adam,1.0,0.0,best_loss,0.9876659999999999,8.172720823697272e-05,-1236.2553918302513,0.058690838230232294,0.991408,7.526591706898571e-05,-1240.0787451326394,0.06102965260383008
1.0,hybrid,Adam,1.0,0.0,best_acc,0.9873000000000001,0.00010382695130997534,-1199.6898431319223,0.047277294738434755,0.9896380000000002,7.593092918522641e-05,-1156.124289628041,0.27888403625641545
1.0,hybrid,Adam,1.0,0.2,best_loss,0.991334,4.650731256961234e-05,-942.4021948860266,0.016819479477499764,0.99295,4.947484640337145e-05,-935.1389241897002,0.018109688006386817
1.0,hybrid,Adam,1.0,0.2,best_acc,0.992096,6.262340870539372e-05,-937.2556928958169,0.013878471926547401,0.9928259999999999,6.152138218338331e-05,-929.6298706981803,0.014987547027209074
1.0,hybrid_v2,Adam,0.0,0.0,best_loss,0.975808,0.00019067444036258442,-2267.035259685275,0.19934379952920547,0.978108,0.0001755516310993927,-2231.33949824466,2.279586457707536
1.0,hybrid_v2,Adam,0.0,0.0,best_acc,0.977524,0.00020562460034371363,-2249.282583934929,1.0056076938657366,0.978342,0.00019981331944483852,-2232.505477433989,1.3496628055375972
1.0,hybrid_v2,Adam,0.0,0.2,best_loss,0.9838859999999998,0.00016219609439767837,-2189.1772207525714,0.0678541484512296,0.983422,0.00017313602127555817,-2175.9621125580993,0.058684659681933656
1.0,hybrid_v2,Adam,0.0,0.2,best_acc,0.983892,0.0001650000906329529,-2185.303416856211,0.07325764817678981,0.983522,0.0001458524380308035,-2172.0919392800633,0.07472624100157771
1.0,hybrid_v2,Adam,0.5,0.0,best_loss,0.990524,0.00013225237438854062,-2352.926839707773,0.10862484112100022,0.991726,0.00014190225431753457,-2342.3005157857006,1.0271880302944678
1.0,hybrid_v2,Adam,0.5,0.0,best_acc,0.9905600000000001,0.0001282586009818475,-2351.2767949589597,0.07921449369705875,0.9916379999999999,0.0001270824306524958,-2341.7993643999707,0.08661950260627442
1.0,hybrid_v2,Adam,0.5,0.2,best_loss,0.9906619999999999,0.00011765326707353231,-2145.6591634938686,0.040723766260198475,0.9914700000000001,0.00014090442432315432,-2132.7280660663073,0.04556146657386848
1.0,hybrid_v2,Adam,0.5,0.2,best_acc,0.9908560000000002,0.00016563024482793752,-2140.4378339163864,0.057214227985029335,0.9914040000000002,0.00011088360923761366,-2127.3611194002174,0.05065245949674581
1.0,hybrid_v2,Adam,1.0,0.0,best_loss,0.9890779999999999,0.00010761408543566737,-2165.0530859375,0.16722553270171084,0.9908920000000002,0.00015340399351037245,-2160.37569762411,0.11835554785300122
1.0,hybrid_v2,Adam,1.0,0.0,best_acc,0.98956,0.0001287716374338339,-2164.215557351414,0.3544590859653328,0.99084,0.00012941007286665677,-2160.2221442654763,0.09120123313010335
1.0,hybrid_v2,Adam,1.0,0.2,best_loss,0.9889380000000001,0.00012446129829267173,-1960.7950817716576,0.034692181777462305,0.9916319999999998,0.00010326023040709707,-1950.2804253918612,0.03753721555053424
