SCALE,MODEL,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
1.0,hybrid_v3_1x1,Adam,0.0,0.0,best_loss,0.9765699999999999,0.00016732236844118766,-2169.6069133826145,0.1194553992150719,0.979484,0.00015780225941229134,-2169.9726530359967,0.0723487935753083
1.0,hybrid_v3_1x1,Adam,0.0,0.0,best_acc,0.9781320000000001,0.00016040059897976146,-2088.266871770545,0.08181464864035752,0.9794619999999999,0.00017565019207381677,-2104.3659457513354,0.06600663043522902
1.0,hybrid_v3_1x1,Adam,0.0,0.1,best_loss,0.9836740000000002,0.00015816221861897925,-2369.40996588212,0.05451180388236053,0.9847319999999999,0.00014104356381489417,-2358.695473571005,0.05593418036372071
1.0,hybrid_v3_1x1,Adam,0.0,0.1,best_acc,0.9837279999999999,0.00016230073475608612,-2363.3882177116297,0.04917097891315665,0.9847899999999998,0.0001380683218715332,-2352.584430626978,0.04526031791634916
1.0,hybrid_v3_1x1,Adam,0.0,0.2,best_loss,0.984446,0.00014897435192974076,-2334.857081067049,0.04748322183075226,0.9853740000000001,0.00014658743147517202,-2323.2746317494066,0.05087352138171054
1.0,hybrid_v3_1x1,Adam,0.0,0.2,best_acc,0.984442,0.00019318646812487166,-2333.5649854133703,0.05354428040125798,0.9856300000000001,0.000154198141268104,-2322.0222096889834,0.05245149799024707
1.0,hybrid_v3_1x1,Adam,0.25,0.0,best_loss,0.9889139999999998,0.00013575193042484067,-2323.0783977576148,0.05837280446996892,0.990164,0.00010799175230555737,-2312.508324268196,0.056396501339168605
1.0,hybrid_v3_1x1,Adam,0.25,0.0,best_acc,0.990344,0.00012436458197296747,-2320.902764042721,0.06898045672527182,0.9902599999999999,0.00014761719726845727,-2306.8935774327533,0.1367110386688064
1.0,hybrid_v3_1x1,Adam,0.25,0.1,best_loss,0.991396,0.00011309143138826469,-2373.4716356803797,0.04864670165777279,0.992826,0.00012576820806146124,-2362.893947537579,0.05072424034415598
1.0,hybrid_v3_1x1,Adam,0.25,0.1,best_acc,0.9914840000000001,0.00011743871828905578,-2372.3004253609574,0.05623826372789512,0.9930000000000001,0.00011088955521768039,-2361.81122799644,0.040602236358409406
1.0,hybrid_v3_1x1,Adam,0.25,0.2,best_loss,0.9917200000000002,9.961379215811619e-05,-2328.0401170638847,0.04240049853073258,0.9922119999999999,0.00012548348464335433,-2316.6223299977746,0.05701927298495371
1.0,hybrid_v3_1x1,Adam,0.25,0.2,best_acc,0.991678,0.0001379536650214289,-2319.7275136595135,0.04552220045158163,0.99212,0.00013155758038222012,-2308.228179329015,0.05562640483166067
1.0,hybrid_v3_1x1,Adam,0.5,0.0,best_loss,0.9911139999999999,0.00012043909928828153,-2328.5978248615506,0.065653889702146,0.991652,0.00014218424070005888,-2326.665444706784,0.05928519651740054
1.0,hybrid_v3_1x1,Adam,0.5,0.0,best_acc,0.992132,9.717466634471488e-05,2221.3682173407833,7.2337309678874115,0.9922340000000002,0.00011592007158666669,-2354.091854757961,0.07492914259874978
1.0,hybrid_v3_1x1,Adam,0.5,0.1,best_loss,0.9926039999999997,0.00012407265216173808,-2368.7247883084456,0.0399583149870714,0.99322,0.00013720005318540026,-2357.4522995265525,0.052132204423501284
1.0,hybrid_v3_1x1,Adam,0.5,0.1,best_acc,0.9923360000000001,0.0001293794999467031,-2360.116044612836,0.06105689171426058,0.99311,0.00011671929527576031,-2348.814238373962,0.04519362471062968
1.0,hybrid_v3_1x1,Adam,0.5,0.2,best_loss,0.9922520000000001,0.0001230427643667756,-2305.73291207229,0.03871782903582186,0.9931340000000002,0.00013337554906525282,-2294.032991989715,0.054262620120621004
1.0,hybrid_v3_1x1,Adam,0.5,0.2,best_acc,0.9921979999999999,0.00011170263819100214,-2304.5507327927216,0.05827872814900263,0.9932440000000001,0.00012879211638393875,-2292.7931489814086,0.04542709696906198
2.0,hybrid_v3_1x1,Adam,0.0,0.0,best_loss,0.981498,0.00012638008245141814,-2177.200657325455,0.19461188234232055,0.9828520000000001,0.00013650629188654816,-1874.4715120648734,2.2343388650166114
2.0,hybrid_v3_1x1,Adam,0.0,0.0,best_acc,0.9818719999999999,0.00017215741500617524,-2036.2126536849782,0.2737865308510322,0.983128,0.0001523473459404014,-2028.1365449775021,0.2208672685164414
2.0,hybrid_v3_1x1,Adam,0.0,0.1,best_loss,0.9851040000000001,0.00014502168614229018,-2331.9850032140034,0.1678457291340173,0.98612,0.0001423881290394059,-2322.1082737094544,0.16918923069909295
2.0,hybrid_v3_1x1,Adam,0.0,0.1,best_acc,0.984894,0.00014173953831535455,-2287.186787109375,0.24275243236756575,0.9857819999999999,0.0001740286375422708,-2277.248103027344,0.24911908724077517
2.0,hybrid_v3_1x1,Adam,0.0,0.2,best_loss,0.9862120000000002,0.00016246314922158144,-2291.442616322191,0.2215716966369055,0.9865480000000001,0.00014264720181280294,-2280.764764605172,0.14504503228846308
2.0,hybrid_v3_1x1,Adam,0.0,0.2,best_acc,0.986152,0.00014183602818845185,-2284.2281222186516,0.1912190136799242,0.986568,0.00011080628246158136,-2273.2478503881525,0.16426217936204973
2.0,hybrid_v3_1x1,Adam,0.25,0.0,best_loss,0.991444,0.00013649663148585097,-2079.427809224189,57.49965788708089,0.9921799999999998,0.00012979162673504866,-1995.694916961284,0.21415923420907151
2.0,hybrid_v3_1x1,Adam,0.25,0.0,best_acc,0.9916919999999999,0.00011722518295306392,4940.631970987441,106.19062685013506,0.992758,0.00012140419781766388,-2115.5558939873417,5.895041634897843
2.0,hybrid_v3_1x1,Adam,0.25,0.1,best_loss,0.9919879999999999,0.0001337494878261111,-2310.6563540842562,0.1939279755138034,0.9936499999999998,0.00010927993365507179,-2301.91915808569,0.19655343018306556
2.0,hybrid_v3_1x1,Adam,0.25,0.1,best_acc,0.9920039999999998,0.00014203577444203813,-2308.3836140847507,0.21303737977056747,0.993694,0.0001214476369398577,-2299.8895012423363,0.20449424428181923
2.0,hybrid_v3_1x1,Adam,0.25,0.2,best_loss,0.9916760000000001,0.00014337563348736099,-2268.01717594195,0.2181540888211217,0.992678,0.00012842427913999695,-2257.7946454398243,0.21311517657048812
2.0,hybrid_v3_1x1,Adam,0.25,0.2,best_acc,0.9917440000000001,0.0001227638041305428,-2268.386693656052,0.18922075758643261,0.992636,0.00013001495051885863,-2258.045960028926,0.20433160672244252
2.0,hybrid_v3_1x1,Adam,0.5,0.0,best_loss,0.9925219999999999,0.00011343052379963969,-2252.9159563822686,32.89374905207717,0.9940359999999998,0.00010995809511412287,-2351.27290616965,0.20884574673460732
2.0,hybrid_v3_1x1,Adam,0.5,0.0,best_acc,0.991972,0.0001398228722402914,-2129.9940045861354,0.25419554706255304,0.9925820000000001,0.0001320191017685408,-2118.572174613084,0.20993733555679223
2.0,hybrid_v3_1x1,Adam,0.5,0.1,best_loss,0.9929780000000001,0.00011770929377595294,-2311.013839003165,0.21312461336846714,0.99436,0.00013851529073857823,-2302.0750512386276,0.22536444666432864
2.0,hybrid_v3_1x1,Adam,0.5,0.1,best_acc,0.99273,0.00012464128197523932,-2283.0378229455105,0.1973996363109671,0.994088,0.00013965773355949733,-2273.446310169848,0.20919069421090764
2.0,hybrid_v3_1x1,Adam,0.5,0.2,best_loss,0.9928060000000002,0.00011758599979286707,-2236.543578730716,0.20858740298391404,0.9941119999999999,0.00010933874346776514,-2226.8587848286684,0.17463425013465955
